"Citizenship","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years or older"
"Portugal",942,953,881,846,2614,3099,2548,2191,1943,1506,885,362,75,21,8,8,6,4,0,0,0
"Romania",61,62,45,86,401,582,378,217,127,54,31,22,9,4,1,1,1,2,0,0,0
"San Marino",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sweden",28,40,31,30,148,156,107,78,64,45,44,24,7,8,9,0,2,0,0,0,0
"Spain",340,320,190,220,603,999,1200,1099,784,533,323,137,36,29,12,12,9,6,0,0,0
"Turkey",70,49,61,115,327,400,353,208,126,60,39,25,19,12,3,4,1,0,0,0,0
"Hungary",95,97,61,36,262,529,499,387,247,119,66,37,12,4,1,1,0,0,0,0,0
"Vatican City State",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyprus",0,2,0,3,19,14,7,7,4,2,0,3,0,0,0,0,0,0,0,0,0
"Slovakia",51,33,28,23,273,410,324,242,100,88,37,26,6,0,0,1,0,0,0,0,0
"Czechia",39,36,11,15,104,175,186,113,55,25,16,16,2,1,0,-1,0,0,0,0,0
"Serbia",87,72,73,128,335,355,237,174,97,64,40,32,19,7,0,2,3,0,-2,1,0
"Croatia",19,22,9,27,83,101,90,48,27,32,18,12,3,2,3,0,3,0,0,0,0
"Slovenia",22,26,24,20,56,80,75,57,43,41,23,4,3,1,0,2,0,0,0,0,0
"Bosnia and Herzegovina",16,24,23,27,178,139,82,54,40,15,21,9,2,0,-1,-3,-2,0,0,0,0
"Montenegro",2,3,2,7,17,21,8,7,5,2,6,2,0,0,0,0,0,0,0,0,0
"North Macedonia",70,65,84,129,497,274,127,103,58,31,15,10,6,4,7,3,5,1,0,0,0
"Kosovo",68,71,114,258,859,529,264,140,87,38,21,10,18,10,4,4,2,0,0,0,0
"Estonia",11,2,4,8,20,31,26,13,10,3,3,2,2,0,0,0,0,0,0,0,0
"Latvia",19,20,9,7,47,74,40,45,14,9,11,11,1,2,0,0,1,0,0,0,0
"Lithuania",14,12,8,10,40,71,43,24,20,11,11,3,4,0,0,0,0,0,0,0,0
"Moldova",3,2,4,8,14,14,12,10,6,2,1,1,2,0,0,0,0,0,0,0,0
"Russia",106,109,179,341,307,346,300,167,121,92,42,44,31,19,7,6,4,2,0,0,0
"Ukraine",25,34,43,84,112,178,121,70,34,21,15,6,5,2,1,1,1,0,0,0,0
"Belarus",5,6,10,15,19,38,41,15,6,3,4,4,3,0,0,0,0,0,0,0,0
"Equatorial Guinea",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ethiopia",70,6,12,15,37,68,58,28,7,4,3,2,1,3,0,0,0,0,0,0,0
"Djibouti",0,0,6,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"Algeria",1,5,6,21,40,78,62,43,25,12,8,1,4,2,0,0,0,0,0,0,0
"Angola",12,7,13,19,5,12,16,11,5,4,6,2,1,0,0,0,0,0,0,0,0
"Botswana",1,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Burundi",2,1,1,2,1,1,2,5,0,0,2,0,1,0,0,0,0,0,0,0,0
"Benin",3,1,4,4,3,8,10,7,1,0,0,4,2,0,0,0,0,0,0,0,0
"Côte d'Ivoire",8,16,14,20,44,44,51,23,13,9,5,1,2,0,0,0,0,0,0,0,0
"Gabon",0,0,2,2,7,3,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0
"Gambia",3,2,1,18,27,23,20,11,7,1,0,0,0,1,0,0,0,0,0,0,0
"Ghana",6,4,10,7,12,25,17,21,7,6,3,1,2,0,0,1,0,0,0,0,0
"Guinea-Bissau",5,1,2,28,30,11,6,5,1,1,1,0,0,0,0,0,0,0,0,0,0
"Guinea",6,5,1,31,34,19,14,2,2,2,0,0,1,0,0,0,0,0,0,0,0
"Cameroon",12,18,24,17,23,49,59,33,13,10,4,3,1,1,1,0,0,0,0,0,0
"Cabo Verde",-2,3,7,3,10,4,6,4,1,0,4,0,0,0,0,1,0,0,0,0,0
"Kenya",9,3,7,14,17,35,42,17,13,4,8,0,1,3,0,0,0,0,0,0,0
"Comoros",0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Congo (Brazzaville)",0,2,3,1,3,2,1,2,3,4,0,1,0,0,0,0,0,0,0,0,0
"Congo (Kinshasa)",23,13,15,16,8,35,25,30,19,7,5,2,5,2,2,-1,0,0,0,0,0
"Lesotho",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Liberia",1,0,2,1,1,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
"Libya",9,7,7,13,9,13,14,10,9,9,7,2,4,1,1,2,0,0,0,0,0
"Madagascar",2,5,9,4,10,16,8,7,7,4,2,4,1,0,0,0,0,0,0,0,0
"Malawi",2,1,0,0,0,1,3,1,1,1,1,2,0,0,0,0,0,0,0,0,0
"Mali",4,1,2,4,8,11,4,4,2,2,2,0,0,0,0,0,0,0,0,0,0
"Morocco",26,14,9,72,85,121,104,62,34,20,15,5,4,3,1,0,0,0,0,0,0
"Mauritania",3,0,0,6,10,1,3,0,2,1,0,1,0,0,0,0,0,0,0,0,0
"Mauritius",5,5,3,10,9,22,15,10,6,4,4,2,0,0,0,0,0,0,0,0,0
"Mozambique",0,0,1,1,2,2,1,3,1,1,3,4,0,0,0,0,0,0,0,0,0
"Niger",1,0,-1,3,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nigeria",16,7,12,30,76,84,57,49,23,10,7,2,3,1,0,0,0,0,0,0,0
"Burkina Faso",2,0,4,4,7,13,10,4,2,2,0,0,0,0,0,0,0,0,0,0,0
"Zimbabwe",1,1,1,6,4,6,2,4,1,3,1,0,2,0,0,0,0,0,0,0,0
"Rwanda",4,0,3,4,3,7,6,4,4,2,0,0,0,0,0,0,0,0,0,0,0
"Zambia",0,0,2,3,3,3,3,1,0,1,3,0,2,0,0,0,0,0,0,0,0
"Sao Tomé and Principe",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Senegal",14,3,2,15,12,28,33,17,5,1,0,1,0,0,0,0,0,0,0,0,0
"Seychelles",0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Sierra Leone",1,0,0,1,9,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"Somalia",39,65,59,67,64,75,20,13,5,8,3,1,6,1,0,-1,0,0,0,0,0
"South Africa",10,18,21,11,24,55,32,30,31,17,12,11,5,4,0,0,1,0,0,0,0
"Sudan",7,4,4,8,11,8,10,12,5,1,1,2,0,1,0,0,0,0,0,0,0
"Namibia",0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eswatini",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Tanzania",0,0,1,4,3,8,11,4,2,1,1,1,0,0,0,0,0,0,0,0,0
"Togo",6,6,8,4,3,9,19,16,8,1,1,1,1,0,0,0,0,0,0,0,0
"Chad",3,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Tunisia",8,6,8,44,111,207,130,54,26,5,7,6,2,1,1,2,0,0,-1,0,0
"Uganda",2,0,-1,5,12,12,7,3,2,1,2,1,1,0,0,0,0,0,-1,0,0
"Egypt",11,13,9,24,44,83,61,29,22,16,5,6,5,3,3,0,0,0,1,0,0
"Central African Republic",0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eritrea",125,178,115,133,206,318,211,126,68,33,27,10,8,5,1,1,1,1,0,0,0
"South Sudan",2,0,0,0,1,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"Western Sahara",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",14,6,5,7,16,43,65,47,19,11,3,3,1,3,2,2,1,1,0,0,0
"Bahamas",0,1,0,1,1,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Barbados",1,0,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"Bolivia",5,2,11,13,14,33,24,16,9,5,11,2,3,0,0,0,0,0,0,0,0
"Brazil",50,91,132,177,226,335,331,256,138,97,49,25,9,6,8,4,0,0,0,0,0
"Chile",0,4,5,11,16,33,37,25,17,10,5,4,4,-1,1,0,0,0,0,0,0
"Costa Rica",4,2,0,2,7,22,13,9,5,1,2,0,0,0,0,0,0,0,0,0,0
"Dominican Republic",6,24,47,25,62,76,70,37,33,8,3,0,1,0,0,0,0,0,0,0,0
"Ecuador",9,13,14,31,20,45,54,24,16,9,14,1,4,1,1,0,0,0,0,0,0
"El Salvador",0,0,2,2,8,5,4,3,3,1,1,0,0,1,0,1,0,0,0,0,0
"Guatemala",2,5,1,2,4,8,7,8,0,4,2,2,0,0,0,0,0,0,0,0,0
"Guyana",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Haiti",7,3,0,0,2,5,11,6,2,2,1,1,0,0,2,0,0,0,0,0,0
"Belize",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Honduras",0,2,3,1,2,3,9,3,4,2,0,1,0,0,0,0,0,0,0,0,0
"Jamaica",2,4,1,1,2,5,7,5,4,5,2,0,0,0,0,0,0,0,0,0,0
"Canada",55,44,38,64,150,177,165,123,102,46,43,30,12,8,3,1,1,0,0,0,0
"Colombia",12,11,19,33,69,130,91,46,24,21,20,3,0,3,2,0,0,0,0,0,0
"Cuba",3,5,4,4,19,32,24,26,9,5,4,1,0,1,1,0,0,0,0,0,-1
"Mexico",6,23,25,63,99,129,90,62,33,13,4,6,4,1,0,0,0,0,0,0,0
"Nicaragua",5,2,1,2,7,6,7,3,2,1,1,1,0,0,0,0,0,0,0,0,0
"Panama",1,2,2,3,7,5,5,4,8,2,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",-1,2,7,7,5,14,10,2,0,3,0,1,1,2,0,0,0,0,0,0,0
"Peru",2,9,8,8,23,56,37,27,19,11,8,3,0,2,2,2,1,0,0,0,0
"Suriname",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Trinidad and Tobago",0,2,2,0,2,3,2,2,0,2,1,0,2,1,0,0,0,0,0,0,0
"Uruguay",2,3,0,1,0,7,10,7,3,2,4,1,0,0,0,1,0,0,0,0,0
"Venezuela",4,5,2,22,15,27,27,22,6,3,3,2,1,0,0,0,0,0,0,0,0
"United States",302,308,213,296,346,500,474,396,345,269,184,123,52,21,16,8,0,2,2,0,0
"Dominica",1,1,1,0,0,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"Grenada",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saint Lucia",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saint Vincent and the Grenadines",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saint Kitts and Nevis",0,2,0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Afghanistan",58,90,60,219,219,125,82,43,18,10,12,7,7,2,1,1,1,0,0,0,0
"Bahrain",1,0,1,0,3,3,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Bhutan",0,1,0,0,1,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Brunéi Darussalam",0,1,2,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Myanmar",1,0,2,3,3,7,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"Sri Lanka",-5,22,24,30,68,162,110,70,37,15,5,4,6,8,3,5,-2,-1,0,0,0
"Taiwan (Chinese Taipei)",2,3,2,38,62,30,33,14,5,8,2,2,4,0,0,0,0,0,0,0,0
"China",28,30,34,359,893,504,472,229,129,71,16,26,14,13,8,1,2,0,1,0,0
"India",177,68,37,88,299,593,451,188,82,33,26,13,19,7,2,3,1,0,0,0,0
"Indonesia",13,13,5,59,47,30,49,38,16,9,3,1,3,1,4,0,0,0,0,0,0
"Iraq",36,18,23,11,46,76,61,25,11,10,4,3,4,0,1,1,0,0,0,0,0
"Iran",11,16,25,38,75,165,114,44,30,27,10,7,4,0,5,3,1,1,0,0,0
"Israel",27,24,12,9,15,22,28,29,18,14,12,8,6,1,0,0,0,1,0,0,0
"Japan",54,50,29,103,67,108,163,130,96,37,27,5,2,2,0,0,0,0,0,0,0
"Yemen",4,9,6,8,9,7,9,5,6,6,3,2,0,0,0,0,0,0,0,0,0
"Jordan",11,5,0,14,3,10,14,10,3,1,-1,0,2,0,1,0,0,0,0,0,0
"Cambodia",2,1,0,2,5,9,7,3,1,0,0,0,0,0,0,0,0,0,-1,0,0
"Qatar",0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kuwait",4,5,0,5,1,5,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0
"Laos",0,0,0,0,2,1,4,3,1,0,0,0,0,0,0,0,0,0,0,-1,0
"Lebanon",3,0,2,16,51,56,34,10,11,5,1,0,0,0,0,0,0,0,0,0,0
"Malaysia",8,10,3,30,76,24,33,27,11,7,4,4,1,1,0,2,0,0,0,0,0
"Maldives",1,0,0,2,2,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0
"Oman",1,0,2,2,1,3,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0
"Mongolia",9,8,4,6,16,11,24,11,7,1,2,1,0,2,-1,0,0,0,0,0,0
"Nepal",2,2,4,4,15,17,14,1,5,4,2,0,0,0,0,0,0,0,0,0,0
"North Korea",1,0,0,1,5,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
"United Arab Emirates",1,0,0,1,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Pakistan",17,17,11,20,39,52,65,28,16,8,8,6,5,2,0,0,0,0,0,0,0
"Philippines",13,16,29,22,46,94,75,61,41,29,17,11,7,3,0,0,0,0,1,0,0
"Saudi Arabia",8,6,11,36,11,12,13,8,6,1,0,1,0,0,1,1,0,0,0,0,0
"Singapore",7,4,-1,9,58,36,33,16,16,4,3,0,1,1,0,0,0,0,0,0,0
"South Korea",10,11,19,54,99,80,71,35,31,13,5,1,0,1,2,0,0,0,0,0,0
"Syria",51,72,36,42,82,157,94,57,36,14,7,5,3,3,1,1,0,1,0,0,0
"Thailand",24,46,46,72,102,157,157,111,61,36,23,3,2,0,0,0,1,0,0,0,0
"Vietnam",-3,7,9,49,58,75,28,22,13,7,5,2,1,1,0,2,0,-1,-2,-1,0
"Bangladesh",12,6,4,8,41,44,26,11,4,2,1,0,1,0,1,0,0,0,0,0,0
"Timor-Leste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Palestine",2,0,0,3,1,8,2,2,1,0,0,2,0,1,0,1,0,0,0,0,0
"Armenia",6,10,9,4,19,11,13,19,3,5,1,2,1,1,2,0,0,0,0,0,0
"Azerbaijan",8,8,7,23,24,22,12,8,5,3,0,0,1,0,2,1,0,0,0,0,0
"Georgia",1,2,2,10,15,22,10,6,9,4,2,1,0,0,1,0,0,1,0,0,0
"Kazakhstan",12,8,12,58,53,31,14,13,7,2,3,0,2,0,1,0,1,0,0,0,0
"Kyrgyzstan",0,2,1,1,6,3,6,2,0,1,0,0,2,0,0,0,0,0,0,0,0
"Tajikistan",3,2,3,0,2,6,3,4,1,0,0,0,0,0,0,1,0,0,0,0,0
"Turkmenistan",1,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Uzbekistan",7,10,3,6,7,22,23,8,2,0,-1,0,1,0,0,0,0,0,0,0,0
"Australia",39,27,18,21,34,84,96,67,56,37,33,19,10,3,1,1,0,0,0,0,0
"Fiji",0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nauru",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vanuatu",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"New Zealand",5,6,2,8,12,26,22,17,19,10,1,10,3,1,0,0,0,0,0,0,0
"Papua New Guinea",1,2,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Tonga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Samoa",1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solomon Islands",0,2,2,0,0,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0
"Tuvalu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kiribati",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marshall Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Micronesia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Palau",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cook Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
