name,migration
Switzerland,24276
Albania,261
Andorra,5
Belgium,1357
Bulgaria,1801
Denmark,459
Germany,21598
Finland,483
France,14281
Greece,1679
United Kingdom,3902
Ireland,482
Iceland,83
Italy,18927
Liechtenstein,117
Luxembourg,187
Malta,49
Monaco,3
Netherlands,1737
Norway,264
Austria,3044
Poland,4218
Portugal,10123
Romania,2973
San Marino,2
Sweden,862
Spain,6104
Turkey,1638
Hungary,3577
Vatican City State,1
Cyprus,96
Slovakia,2355
Czech Rep.,1052
Serbia,1547
Croatia,535
Slovenia,922
Bosnia and Herz.,640
Montenegro,93
Macedonia,1776
Kosovo,2536
Estonia,126
Latvia,289
Lithuania,379
Moldova,79
Russia,1905
Ukraine,778
Belarus,109
Eq. Guinea,20
Ethiopia,501
Djibouti,9
Algeria,282
Angola,40
Botswana,22
Burundi,27
Benin,41
Côte d'Ivoire,112
Gabon,14
Gambia,41
Ghana,98
Guinea-Bissau,15
Guinea,94
Cameroon,236
Cabo Verde,46
Kenya,184
Comoros,10
Congo,38
Dem. Rep. Congo,179
Lesotho,19
Liberia,4
Libya,48
Madagascar,59
Malawi,24
Mali,29
Morocco,538
Mauritania,15
Mauritius,68
Mozambique,14
Niger,10
Nigeria,199
Burkina Faso,33
Zimbabwe,42
Rwanda,27
Zambia,33
Sao Tom� and Principe,1
Senegal,148
Seychelles,3
Sierra Leone,7
Somalia,823
South Africa,286
Sudan,205
Namibia,6
Swaziland,4
Tanzania,37
Togo,78
Chad,12
Tunisia,618
Uganda,57
Egypt,381
Central African Rep.,6
Eritrea,7115
S. Sudan,6
W. Sahara,0
Argentina,201
Bahamas,5
Barbados,9
Bolivia,156
Brazil,1800
Chile,199
Costa Rica,90
Dominican Rep.,341
Ecuador,210
El Salvador,28
Guatemala,41
Guyana,4
Haiti,37
Belize,9
Honduras,29
Jamaica,22
Canada,895
Colombia,447
Cuba,151
Mexico,555
Nicaragua,34
Panama,40
Paraguay,44
Peru,212
Suriname,0
Trinidad and Tobago,20
Uruguay,29
Venezuela,139
United States,3569
Dominica,11
Grenada,2
Antigua and Barbuda,2
Saint Lucia,2
Saint Vincent and the Grenadines,1
Saint Kitts and Nevis,7
Afghanistan,6529
Bahrain,16
Bhutan,16
Brunei,5
Myanmar,61
Sri Lanka,1625
Taiwan,342
China,3663
India,2879
Indonesia,287
Iraq,1738
Iran,788
Israel,182
Japan,841
Yemen,28
Jordan,80
Cambodia,42
Qatar,13
Kuwait,22
Lao PDR,24
Lebanon,259
Malaysia,241
Maldives,11
Oman,10
Mongolia,128
Nepal,71
Dem. Rep. Korea,12
United Arab Emirates,21
Pakistan,396
Philippines,594
Saudi Arabia,131
Singapore,157
Korea,566
Syria,4587
Thailand,899
Vietnam,508
Bangladesh,149
Timor-Leste,0
Palestine,27
Armenia,64
Azerbaijan,93
Georgia,111
Kazakhstan,182
Kyrgyzstan,36
Tajikistan,14
Turkmenistan,11
Uzbekistan,55
Australia,614
Fiji,6
Nauru,0
Vanuatu,0
New Zealand,112
Papua New Guinea,4
Tonga,0
Samoa,0
Solomon Islands,0
Tuvalu,0
Kiribati,0
Marshall Islands,0
Micronesia,0
Palau,0
Cook Islands,0
Greenland,0
Puerto Rico,0
Falkland Is.,0
Somaliland,0
New Caledonia,0
Fr. S. Antarctic Lands,0
Solomon Is.,0
