"Citizenship","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years or older"
"Algeria",6,6,2,12,19,39,58,48,17,8,8,3,1,1,2,1,0,0,0,0,0
"Angola",6,1,1,7,3,8,2,3,3,4,4,0,2,1,0,0,0,0,0,0,0
"Botswana",0,0,1,3,3,2,1,2,4,1,0,2,0,0,0,0,0,0,0,0,0
"Burundi",0,2,4,1,4,3,4,2,2,2,1,2,2,0,0,0,0,0,0,0,0
"Benin",2,1,4,2,2,6,3,3,3,4,1,0,0,0,0,0,0,0,0,0,0
"Côte d'Ivoire",5,7,5,18,11,17,18,19,15,6,4,4,1,0,0,0,0,0,0,0,0
"Gabon",0,1,1,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Gambia",3,3,2,9,6,8,9,11,1,5,0,0,0,0,0,2,0,0,0,0,0
"Ghana",13,11,8,5,6,24,27,11,7,10,6,8,0,0,1,1,0,0,0,0,0
"Guinea-Bissau",3,0,0,5,2,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Guinea",10,5,8,45,13,18,10,5,4,1,0,0,0,0,0,0,0,0,0,0,0
"Cameroon",10,15,23,15,15,36,49,33,25,16,3,1,3,0,0,2,0,0,0,0,0
"Cabo Verde",3,4,6,5,5,9,11,3,2,2,0,1,0,0,0,0,0,0,0,0,0
"Kenya",4,14,7,20,22,30,21,21,20,8,1,0,0,2,2,0,0,0,0,0,0
"Comoros",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Congo (Brazzaville)",2,1,1,3,4,0,1,2,1,1,1,2,0,0,0,0,0,0,0,0,0
"Congo (Kinshasa)",8,4,11,21,16,19,26,20,14,9,1,3,4,2,1,1,0,0,0,0,0
"Lesotho",0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Liberia",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Libya",5,6,3,4,8,7,7,4,5,5,1,0,0,4,1,2,1,1,0,0,0
"Madagascar",2,2,6,3,7,9,8,7,3,6,0,1,1,0,0,0,0,0,0,0,0
"Malawi",3,3,1,0,2,1,5,1,4,0,1,2,0,0,0,0,0,0,0,0,0
"Mali",0,3,2,8,5,2,3,2,1,2,1,1,0,0,0,0,0,0,0,0,0
"Morocco",19,8,9,67,82,134,112,63,38,15,13,0,1,0,2,1,1,0,0,0,0
"Mauritania",1,3,3,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Mauritius",2,1,3,7,17,18,6,8,4,3,0,3,0,0,1,0,0,0,0,0,0
"Mozambique",0,1,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Niger",0,0,0,3,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Nigeria",15,15,21,23,31,33,45,28,28,10,8,3,1,0,0,0,0,0,0,0,0
"Burkina Faso",2,3,1,2,4,9,14,7,6,5,0,3,0,0,0,0,0,0,0,0,0
"Zimbabwe",4,2,1,4,6,6,8,4,5,3,1,0,0,0,0,0,0,0,0,0,0
"Rwanda",1,3,0,1,1,4,4,7,1,1,1,0,1,0,0,0,0,0,0,0,0
"Zambia",2,4,1,2,2,7,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0
"Sao Tomé and Principe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Senegal",4,5,5,3,13,15,18,16,17,12,2,2,1,1,0,0,0,0,0,0,0
"Seychelles",0,1,0,0,2,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0
"Sierra Leone",0,3,3,4,3,0,1,4,2,0,1,0,0,0,0,0,0,0,0,0,0
"Somalia",44,21,21,254,128,86,46,15,4,4,3,3,2,3,2,0,0,0,0,0,0
"South Africa",12,8,7,11,22,39,34,32,23,13,10,2,2,2,4,0,0,0,0,0,0
"Sudan",2,5,3,8,12,19,13,5,8,4,4,0,0,0,0,0,0,0,0,0,0
"Namibia",0,0,0,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Eswatini",1,0,0,0,0,0,1,0,2,1,0,2,0,0,0,0,0,0,0,0,0
"Tanzania",1,1,1,3,2,11,11,6,2,1,1,2,1,0,0,0,0,0,0,0,0
"Togo",4,7,0,1,10,15,8,7,8,2,1,1,0,0,0,0,0,0,0,0,0
"Chad",0,0,1,3,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tunisia",13,5,8,35,76,121,100,71,26,20,7,3,1,1,0,0,0,0,0,0,0
"Uganda",6,2,4,4,8,8,11,7,4,4,2,0,0,0,0,0,0,0,0,0,0
"Egypt",13,10,14,39,33,84,54,29,26,10,8,5,3,6,2,1,1,0,0,0,0
"Central African Republic",1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Eritrea",275,197,153,803,402,322,214,103,66,26,9,10,4,3,1,0,0,0,0,0,0
"South Sudan",0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Western Sahara",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",12,7,4,10,15,39,45,38,15,10,4,4,0,3,1,0,0,0,0,0,0
"Bahamas",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barbados",0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Bolivia",5,6,7,13,11,32,17,25,16,13,12,7,3,0,0,0,0,0,0,0,0
"Brazil",70,76,96,183,151,307,327,302,167,132,81,26,18,3,3,2,0,0,0,0,0
"Chile",6,7,5,10,8,33,26,37,17,11,5,4,6,0,2,0,0,1,0,0,0
"Costa Rica",3,2,2,0,4,17,24,14,4,3,1,1,0,0,0,0,0,0,0,0,0
"Dominican Republic",7,27,21,19,35,70,62,26,29,11,7,4,1,3,1,1,0,0,1,0,0
"Ecuador",6,12,2,14,16,29,38,31,15,15,11,4,0,0,0,1,0,1,0,0,0
"El Salvador",0,2,1,5,3,7,6,6,3,0,3,0,0,0,0,0,0,0,0,0,0
"Guatemala",0,3,1,3,4,8,5,8,5,0,3,0,0,0,0,0,0,0,0,0,0
"Guyana",0,0,0,0,0,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"Haiti",0,1,0,1,1,5,3,5,3,2,0,0,0,0,0,0,0,0,0,0,0
"Belize",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Honduras",0,0,3,2,2,9,9,6,3,0,0,0,0,0,1,0,0,0,0,0,0
"Jamaica",1,4,2,1,1,6,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"Canada",45,45,38,61,140,183,154,106,77,61,44,20,17,6,2,3,2,0,0,0,0
"Colombia",9,21,19,21,57,148,98,64,43,24,19,10,3,1,0,2,2,0,0,0,0
"Cuba",0,5,1,5,14,38,25,17,12,6,8,9,2,4,1,0,0,0,0,0,0
"Mexico",10,18,45,103,61,110,98,64,39,25,15,6,3,2,1,0,1,0,0,0,0
"Nicaragua",1,2,2,4,4,5,4,9,2,2,0,1,0,0,1,0,0,0,0,0,0
"Panama",2,0,2,9,26,12,6,7,2,1,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",0,1,7,7,1,7,11,8,2,4,0,1,0,0,0,0,0,0,0,0,0
"Peru",1,5,9,16,11,50,40,35,17,17,15,8,7,4,5,1,2,0,0,0,0
"Suriname",0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Trinidad and Tobago",0,0,0,0,0,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0
"Uruguay",0,0,1,0,2,8,8,0,3,1,2,3,1,0,0,0,0,0,0,0,0
"Venezuela",3,6,4,14,16,36,24,22,9,8,8,0,2,1,1,0,1,0,0,0,0
"United States",237,268,236,270,278,416,472,371,301,296,190,130,51,23,11,7,6,3,2,0,0
"Dominica",0,0,0,0,3,2,2,1,1,0,1,0,0,1,0,1,0,1,0,0,0
"Grenada",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saint Lucia",0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0
"Saint Vincent and the Grenadines",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saint Kitts and Nevis",0,0,1,4,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
"Afghanistan",127,113,111,538,328,212,112,44,31,16,20,11,9,8,0,2,0,0,0,0,0
"Bahrain",0,0,0,2,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bhutan",0,1,0,2,2,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Brunéi Darussalam",1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myanmar",2,1,0,25,32,3,6,2,2,2,2,1,0,1,0,0,0,0,0,0,0
"Sri Lanka",29,31,46,46,200,298,197,147,72,30,13,11,4,8,2,2,3,0,0,0,0
"Taiwan (Chinese Taipei)",6,1,6,38,131,72,28,22,6,10,6,2,2,0,0,0,0,0,0,0,0
"China",97,66,112,548,1083,600,354,242,112,72,48,27,25,17,6,1,5,0,0,0,0
"India",239,132,61,101,373,602,715,401,151,82,33,12,9,3,4,3,3,2,0,0,0
"Indonesia",8,6,6,49,80,35,34,38,21,8,9,4,1,2,2,0,0,0,0,0,0
"Iraq",88,75,56,47,68,99,60,46,39,26,9,3,4,1,2,2,1,0,0,0,0
"Iran",17,19,26,51,70,179,144,77,34,26,19,10,6,1,1,1,0,0,1,0,0
"Israel",30,24,12,9,12,21,47,40,19,13,3,3,5,1,0,0,1,0,0,0,0
"Japan",45,49,54,106,62,104,127,107,93,55,14,19,1,3,2,0,0,0,0,0,0
"Yemen",1,2,1,2,5,6,9,4,3,1,0,1,1,1,0,0,0,0,0,0,0
"Jordan",8,6,4,14,9,11,13,13,5,5,2,2,0,1,0,0,0,0,0,0,0
"Cambodia",0,3,3,6,7,10,16,5,2,2,0,2,0,0,0,0,0,0,0,0,0
"Qatar",1,0,1,3,3,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"Kuwait",1,2,5,1,1,1,1,4,1,0,1,1,1,0,0,0,0,0,0,0,0
"Laos",1,0,2,4,4,9,5,6,3,1,1,2,0,0,0,0,0,0,0,0,0
"Lebanon",7,3,3,30,55,54,53,28,19,6,4,2,0,3,0,0,0,0,0,0,0
"Malaysia",5,8,4,21,64,29,20,23,23,11,7,3,2,2,1,0,0,0,0,0,0
"Maldives",0,0,0,2,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Oman",1,2,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mongolia",10,9,13,10,19,17,7,17,7,9,4,2,0,0,0,0,0,0,0,0,0
"Nepal",2,3,3,9,20,22,19,6,6,3,2,1,0,0,0,0,0,0,0,0,0
"North Korea",0,2,1,1,1,0,2,0,3,1,1,1,0,0,0,0,0,0,0,0,0
"United Arab Emirates",1,1,1,3,0,3,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0
"Pakistan",20,22,22,19,34,48,45,25,24,13,7,6,0,1,3,1,0,0,0,0,0
"Philippines",13,25,19,16,25,106,109,74,51,30,26,21,5,3,1,0,0,0,0,0,0
"Saudi Arabia",16,11,9,24,10,14,17,14,2,6,1,8,2,1,1,0,0,0,0,0,0
"Singapore",10,6,10,4,25,40,30,25,24,7,1,2,2,1,0,0,0,0,0,0,0
"South Korea",11,11,20,76,120,113,85,45,37,23,11,4,4,0,0,0,1,0,0,0,0
"Syria",229,240,177,146,215,161,164,123,83,52,32,38,18,12,8,4,0,0,1,0,0
"Thailand",30,45,50,53,132,162,116,124,98,55,27,9,3,1,0,0,0,0,0,0,0
"Vietnam",7,12,10,76,127,82,46,33,15,11,8,4,4,3,0,0,0,0,0,0,0
"Bangladesh",5,10,2,4,12,22,32,14,3,6,2,0,3,0,0,1,0,0,0,0,0
"Timor-Leste",1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Palestine",1,0,0,1,2,7,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0
"Armenia",2,8,4,4,11,10,17,5,2,4,0,1,0,1,1,0,0,0,0,0,0
"Azerbaijan",6,7,5,5,11,14,14,8,3,1,2,2,0,2,0,1,0,0,0,0,0
"Georgia",3,3,2,7,13,27,11,7,7,5,6,3,0,1,0,1,1,0,0,0,0
"Kazakhstan",9,3,9,54,47,19,14,10,6,2,0,1,2,1,0,0,0,0,0,0,0
"Kyrgyzstan",0,3,1,6,4,7,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"Tajikistan",4,2,3,3,2,7,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0
"Turkmenistan",1,0,2,4,0,2,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0
"Uzbekistan",2,0,2,1,8,2,5,4,0,1,0,1,1,0,0,0,0,0,0,0,0
"Australia",41,43,28,22,41,71,74,76,57,54,35,11,7,2,1,1,0,0,0,0,0
"Fiji",1,0,1,1,2,2,2,2,0,5,0,0,0,1,0,0,0,0,0,0,0
"Nauru",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vanuatu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"New Zealand",4,2,3,9,5,18,24,13,10,6,10,3,0,1,3,0,0,0,0,0,0
"Papua New Guinea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tonga",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Samoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solomon Islands",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Tuvalu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kiribati",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marshall Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Micronesia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Palau",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cook Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
