"Citizenship","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years or older"
"Cabo Verde",3,5,7,4,5,13,10,4,6,4,1,0,0,0,0,0,0,0,0,0,0
"Kenya",9,12,8,9,19,31,23,18,10,5,2,0,1,1,0,0,0,0,0,0,0
"Comoros",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Congo (Brazzaville)",0,1,3,2,3,2,5,4,0,2,1,0,0,0,0,0,0,0,0,0,0
"Congo (Kinshasa)",17,13,15,21,10,39,30,39,23,11,7,3,2,1,-1,0,0,0,0,0,0
"Lesotho",0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Liberia",2,2,0,1,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Libya",3,2,3,5,3,8,3,4,1,2,2,1,2,0,0,1,0,0,0,0,0
"Madagascar",5,4,3,5,12,14,14,11,4,3,0,1,2,0,0,0,0,0,0,0,0
"Malawi",1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mali",6,2,1,4,4,11,5,3,2,1,0,1,0,0,0,0,0,0,0,0,0
"Morocco",25,16,11,82,100,136,93,56,30,17,7,3,3,4,5,2,0,0,0,0,0
"Mauritania",-1,4,3,5,1,0,1,1,3,1,1,1,0,1,0,0,0,0,0,0,0
"Mauritius",0,5,5,6,13,17,18,7,7,4,1,0,1,0,0,0,0,1,0,0,0
"Mozambique",0,0,0,0,2,3,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Niger",0,0,0,0,3,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0
"Nigeria",12,9,15,24,41,59,56,32,22,7,1,3,1,0,0,0,0,0,0,0,0
"Burkina Faso",-1,2,2,1,12,12,9,8,4,0,0,0,0,0,0,0,0,0,0,0,0
"Zimbabwe",1,3,3,10,-1,10,6,9,1,2,1,1,0,0,0,1,0,0,0,0,0
"Rwanda",6,5,4,1,0,4,9,6,3,1,1,2,0,1,0,0,0,0,0,0,0
"Zambia",0,0,0,1,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Sao Tomé and Principe",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Senegal",13,2,3,7,14,27,37,11,16,4,0,1,1,0,0,0,0,0,0,0,0
"Seychelles",0,0,0,1,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"Sierra Leone",0,0,1,0,1,4,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Somalia",23,19,9,17,44,23,7,3,9,2,4,1,3,1,0,0,0,0,0,0,0
"South Africa",14,10,13,10,8,47,48,28,31,20,20,7,2,2,2,0,0,0,0,0,0
"Sudan",9,5,6,5,2,13,6,10,3,2,3,1,2,2,1,0,0,0,0,0,0
"Namibia",1,1,2,2,2,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0
"Eswatini",0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tanzania",1,1,2,3,2,11,9,6,2,2,1,0,0,0,0,0,0,0,0,0,0
"Togo",4,2,12,7,8,10,21,11,7,3,2,0,1,0,0,0,0,0,0,0,0
"Chad",-1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tunisia",5,9,8,35,110,172,110,55,23,9,5,5,0,0,0,1,0,0,0,0,0
"Uganda",2,3,1,6,7,13,12,1,5,2,1,0,0,0,0,0,0,0,0,0,0
"Egypt",25,16,10,20,23,87,62,39,17,14,1,8,4,3,2,5,1,1,0,0,0
"Central African Republic",1,0,1,0,1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
"Eritrea",87,183,117,118,230,296,214,133,56,33,15,8,11,2,1,0,0,0,0,0,0
"South Sudan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Western Sahara",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",14,9,16,11,21,54,65,33,32,6,4,2,6,2,2,2,1,0,0,0,0
"Bahamas",0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Barbados",1,0,0,0,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Bolivia",4,6,14,20,13,37,31,30,15,10,4,0,0,0,0,0,0,1,0,0,0
"Brazil",61,101,144,166,200,402,385,275,146,76,47,15,16,4,0,1,1,0,0,0,0
"Chile",12,6,4,4,13,28,48,31,15,5,9,4,3,1,0,0,-1,0,1,0,0
"Costa Rica",1,5,2,7,11,16,15,10,5,1,1,0,0,0,0,0,0,0,0,0,0
"Dominican Republic",2,32,35,31,46,79,74,52,18,12,7,2,1,0,0,1,0,0,0,0,0
"Ecuador",8,16,31,31,33,52,27,28,29,10,13,0,0,0,0,0,0,0,0,0,0
"El Salvador",1,1,1,1,3,5,5,6,3,2,1,1,0,0,0,0,0,0,0,0,0
"Guatemala",2,1,0,2,4,13,7,9,0,1,1,0,0,0,0,1,0,0,0,0,0
"Guyana",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Haiti",2,7,3,9,7,4,12,2,1,1,2,2,2,0,0,0,0,0,0,0,0
"Belize",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Honduras",0,1,2,1,1,6,4,2,3,1,0,0,0,0,0,1,0,0,0,0,0
"Jamaica",2,3,0,2,5,5,4,0,0,2,1,0,1,0,0,0,0,0,0,0,0
"Canada",46,44,45,54,194,218,169,126,62,68,51,25,8,4,4,1,2,0,0,0,0
"Colombia",10,14,19,33,50,123,82,41,36,23,9,6,2,2,2,0,0,0,0,0,0
"Cuba",0,5,7,4,19,42,43,16,12,14,1,2,0,2,0,0,0,0,0,0,0
"Mexico",15,13,33,71,108,117,98,59,34,15,3,4,4,0,2,1,1,0,0,0,0
"Nicaragua",-1,0,2,1,3,6,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Panama",0,0,1,9,1,4,5,1,5,0,2,0,0,0,0,0,0,0,0,0,0
"Paraguay",0,3,1,1,11,6,9,7,5,2,0,0,0,2,0,0,0,0,0,0,0
"Peru",5,4,8,11,17,56,57,35,22,21,8,6,4,0,1,1,0,0,0,0,0
"Suriname",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Trinidad and Tobago",0,0,0,0,1,1,3,2,0,1,1,0,0,1,0,0,0,0,0,0,0
"Uruguay",4,4,0,0,4,4,13,10,5,3,1,1,0,0,0,0,0,0,0,0,0
"Venezuela",-4,1,5,12,18,37,30,20,12,3,4,1,0,0,0,0,1,0,0,0,0
"United States",326,322,265,272,501,604,543,426,412,297,228,122,70,32,9,4,3,2,1,0,0
"Dominica",0,0,1,0,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grenada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Saint Lucia",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saint Vincent and the Grenadines",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saint Kitts and Nevis",0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Afghanistan",50,57,35,128,98,95,55,31,15,13,2,3,2,2,1,0,0,0,-2,0,0
"Bahrain",0,2,0,2,2,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"Bhutan",0,-1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Brunéi Darussalam",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myanmar",0,1,0,5,3,3,6,8,3,1,3,1,2,0,0,0,0,0,0,0,0
"Sri Lanka",15,23,15,47,117,216,156,85,47,27,22,14,8,10,9,7,0,1,0,0,0
"Taiwan (Chinese Taipei)",2,0,3,27,97,42,26,15,3,1,1,1,0,-2,0,0,0,0,0,0,0
"China",23,36,38,327,767,461,273,175,91,63,31,14,9,7,8,4,1,-1,0,0,0
"India",175,79,49,85,246,563,328,141,69,38,19,12,7,2,4,3,2,0,0,0,0
"Indonesia",3,9,5,54,40,42,28,23,10,5,2,0,2,0,2,0,0,0,0,0,0
"Iraq",24,19,12,24,59,64,60,28,10,10,2,1,1,-1,0,0,0,0,0,0,0
"Iran",21,21,18,46,87,176,126,41,33,23,15,9,4,4,2,1,-1,0,0,0,0
"Israel",24,21,15,7,18,22,36,30,27,15,4,7,0,0,0,1,1,0,0,0,0
"Japan",60,52,37,108,71,96,159,137,78,30,24,11,10,3,2,0,1,0,0,0,0
"Yemen",8,2,2,2,7,11,5,2,5,1,1,1,1,1,1,0,0,0,0,0,0
"Jordan",4,2,1,10,8,11,13,10,4,1,1,0,1,0,0,0,0,0,0,0,0
"Cambodia",4,5,1,1,7,8,5,3,4,0,0,1,0,0,0,0,0,0,0,0,0
"Qatar",4,0,0,0,0,2,1,2,1,0,0,0,1,1,0,1,0,0,0,0,0
"Kuwait",-1,0,0,4,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Laos",0,0,1,0,0,1,2,4,0,0,-1,0,0,0,0,0,0,0,0,0,0
"Lebanon",10,1,3,11,37,51,33,19,4,4,2,0,3,1,1,0,0,0,0,0,0
"Malaysia",4,10,2,35,92,40,34,23,7,9,6,1,1,0,0,1,0,0,0,0,0
"Maldives",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oman",3,2,3,6,1,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
"Mongolia",4,1,3,8,15,10,12,11,9,1,1,0,0,0,0,0,0,0,0,0,0
"Nepal",2,1,2,2,14,3,11,9,4,0,0,2,4,0,0,0,0,0,0,0,0
"North Korea",0,0,2,4,-5,0,5,1,2,1,1,2,0,0,0,0,0,0,0,0,0
"United Arab Emirates",2,2,0,1,4,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
"Pakistan",24,22,11,10,40,65,42,30,16,7,5,4,2,2,2,2,0,0,0,0,0
"Philippines",13,15,12,8,39,90,82,43,44,23,20,8,8,2,3,1,0,0,0,0,0
"Saudi Arabia",16,9,10,28,20,13,15,2,4,3,3,1,0,2,1,2,0,0,0,0,0
"Singapore",11,7,2,9,77,31,33,32,9,7,3,1,0,1,0,0,0,0,0,0,0
"South Korea",18,19,20,73,100,70,70,55,29,9,1,-1,0,0,1,0,0,0,0,0,0
"Syria",51,43,28,27,62,105,76,27,23,11,4,1,1,0,0,0,0,0,0,0,0
"Thailand",31,51,36,48,98,179,167,130,78,43,6,10,1,2,1,0,0,0,0,0,0
"Vietnam",8,6,8,59,95,60,31,22,7,4,8,0,0,1,-1,1,0,-3,-2,0,-1
"Bangladesh",9,1,5,4,39,18,13,10,2,0,1,0,0,0,0,0,0,0,0,0,0
"Timor-Leste",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Palestine",1,0,0,0,4,1,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0
"Armenia",3,8,3,7,22,14,10,10,3,5,4,1,0,2,0,0,0,0,0,0,0
"Azerbaijan",6,10,8,20,28,15,14,4,3,0,0,0,1,1,0,1,0,0,0,0,0
"Georgia",1,4,5,6,11,21,12,10,6,2,2,2,1,0,0,0,0,1,0,0,0
"Kazakhstan",8,9,11,73,27,30,19,13,6,3,3,1,0,2,0,0,0,0,0,0,0
"Kyrgyzstan",2,1,5,1,12,9,7,4,0,1,2,1,1,0,0,0,0,0,0,0,0
"Tajikistan",0,0,0,0,1,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0
"Turkmenistan",3,4,2,0,0,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Uzbekistan",5,2,3,9,8,15,19,7,1,1,2,0,0,0,0,-1,0,0,0,0,0
"Australia",35,38,25,24,37,83,78,63,73,36,24,15,8,2,0,0,0,0,0,0,0
"Fiji",0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Nauru",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vanuatu",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"New Zealand",6,5,6,9,4,26,12,25,11,11,8,4,1,2,0,0,0,0,0,0,0
"Papua New Guinea",0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tonga",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Samoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solomon Islands",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tuvalu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kiribati",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marshall Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Micronesia",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Palau",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cook Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
