"Citizenship","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years or older"
"Switzerland",1884,1534,1234,1437,2562,2887,2451,2035,1790,1898,1763,1417,966,749,597,372,223,94,49,9,1
"Albania",11,9,10,20,42,60,34,20,13,10,3,2,0,1,1,0,0,0,0,0,0
"Andorra",0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belgium",69,78,39,73,181,267,190,138,100,83,68,39,21,14,7,3,5,4,1,1,0
"Bulgaria",32,41,29,39,105,196,174,139,103,72,31,12,9,8,2,1,4,2,0,0,0
"Denmark",25,36,25,16,28,89,40,51,59,43,36,24,11,6,2,0,2,0,0,0,0
"Germany",813,579,423,753,2549,5453,4026,2390,1640,1700,1329,676,288,127,62,51,22,11,4,0,0
"Finland",31,24,21,19,58,84,95,54,37,21,19,10,4,2,4,0,0,0,1,0,0
"France",726,607,420,1075,2212,3144,2345,1486,1088,749,506,296,169,90,56,30,24,23,4,1,0
"Greece",76,55,52,55,164,372,267,170,142,94,56,34,19,17,10,8,2,3,0,0,0
"United Kingdom",245,231,169,121,392,595,567,536,468,381,282,172,68,44,15,13,6,6,1,0,0
"Ireland",36,30,13,16,47,85,95,59,72,45,38,12,5,2,0,0,0,0,0,0,0
"Iceland",3,4,2,1,9,21,8,5,3,1,3,0,1,0,0,0,2,0,0,0,0
"Italy",838,883,701,859,2402,3080,2518,1967,1944,1476,960,533,236,177,125,101,52,27,14,1,0
"Liechtenstein",2,5,1,11,21,38,21,6,9,4,1,0,1,0,2,0,1,1,0,0,0
"Luxembourg",4,4,3,35,59,47,10,8,7,4,5,6,3,0,0,1,1,0,0,0,0
"Malta",3,0,0,1,1,8,4,4,2,0,1,1,0,1,0,1,0,0,0,0,0
"Monaco",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Netherlands",77,83,63,48,181,238,204,182,131,154,112,74,27,15,11,5,3,5,0,0,0
"Norway",12,12,11,9,46,65,33,24,35,10,7,10,3,0,2,0,0,0,0,0,0
"Austria",108,115,85,157,486,687,519,318,266,207,154,64,25,14,9,5,4,2,3,1,0
"Poland",215,187,86,77,536,1135,1025,701,476,278,167,127,46,10,1,1,1,1,0,0,0
"Portugal",613,713,631,628,1698,2075,1592,1297,1142,916,627,268,86,18,7,5,5,4,0,0,0
"Romania",67,79,51,95,327,533,380,265,120,71,35,23,24,8,1,2,3,0,0,0,1
"San Marino",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Sweden",60,58,33,32,151,197,122,96,77,49,35,26,10,8,7,2,3,0,0,0,0
"Spain",311,375,360,341,634,1100,1090,998,815,588,383,151,59,23,14,17,18,2,2,0,0
"Turkey",70,64,46,97,241,370,272,183,132,66,31,26,8,5,4,5,4,2,1,0,0
"Hungary",133,134,112,72,495,757,714,613,448,283,120,70,24,9,8,1,1,1,0,0,0
"Vatican City State",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyprus",6,5,7,8,9,23,12,3,14,3,8,2,1,0,2,1,0,0,0,0,0
"Slovakia",71,57,33,35,425,630,527,342,220,155,94,52,10,1,2,0,0,0,0,0,0
"Czechia",36,38,14,22,151,280,223,178,92,62,41,22,7,1,2,0,1,0,0,0,0
"Serbia",50,37,30,73,334,355,234,133,99,62,34,33,15,9,2,3,0,0,0,0,0
"Croatia",16,17,11,23,87,122,69,67,43,15,19,19,12,5,3,1,0,0,0,0,0
"Slovenia",65,51,52,39,142,226,146,127,99,65,41,20,7,5,1,2,0,0,0,0,0
"Bosnia and Herzegovina",17,25,12,26,164,204,90,37,36,31,15,8,7,1,0,0,1,0,0,0,0
"Montenegro",2,0,4,2,14,26,15,2,4,2,1,2,1,2,1,0,0,0,0,0,0
"North Macedonia",75,57,57,114,471,368,153,95,75,46,36,25,11,9,3,1,3,0,0,0,0
"Kosovo",66,55,52,179,839,665,327,176,84,53,28,13,10,8,8,1,2,0,0,0,0
"Estonia",4,1,1,6,17,31,25,10,7,7,3,2,1,0,0,0,0,0,0,0,0
"Latvia",18,8,8,13,38,69,40,26,16,19,5,7,3,3,1,0,0,0,0,0,0
"Lithuania",7,5,12,12,39,77,49,36,20,16,21,17,6,1,0,1,0,0,0,0,0
"Moldova",5,0,1,4,6,23,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0
"Russia",97,87,104,245,238,349,293,184,137,70,53,42,30,21,3,7,1,0,1,0,0
"Ukraine",31,46,39,76,142,184,157,116,59,34,12,13,16,8,5,2,6,1,0,0,0
"Belarus",7,7,6,10,11,34,26,10,11,2,5,0,1,1,0,1,0,0,0,0,0
"Equatorial Guinea",0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ethiopia",49,7,8,27,43,69,40,20,14,7,2,0,1,0,0,0,0,0,0,0,0
"Djibouti",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Algeria",15,9,10,11,18,53,68,40,27,17,11,4,0,3,1,0,0,0,0,0,0
"Angola",9,2,4,4,1,4,6,6,4,6,3,3,0,1,0,0,0,0,0,0,0
"Botswana",2,1,2,3,0,2,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0
"Burundi",3,4,4,0,2,1,4,5,0,1,1,2,0,0,0,0,0,0,0,0,0
"Benin",1,7,3,3,1,6,6,10,1,1,0,0,0,0,0,0,0,0,0,0,0
"Côte d'Ivoire",7,8,8,13,12,15,28,16,8,5,4,2,0,0,0,1,0,0,0,0,0
"Gabon",1,3,5,5,3,1,7,0,5,3,0,2,0,0,0,0,0,0,0,0,0
"Gambia",4,2,1,5,8,8,13,4,4,1,0,0,0,0,0,0,0,0,0,0,0
"Ghana",7,3,5,5,5,17,26,9,7,4,6,3,1,0,0,1,0,0,0,0,0
"Guinea-Bissau",0,2,1,1,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"Guinea",4,4,6,15,14,11,10,6,2,1,0,0,0,0,0,0,0,0,0,0,0
"Cameroon",13,17,23,19,29,50,46,31,26,11,10,2,3,1,0,0,0,0,0,0,0
"Cabo Verde",0,2,2,2,3,10,11,4,1,1,1,1,0,0,0,0,0,0,0,0,0
"Kenya",5,11,10,19,23,30,32,17,22,9,11,4,2,0,1,0,1,0,0,0,0
"Comoros",1,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0
"Congo (Brazzaville)",1,1,2,3,2,2,1,2,3,2,0,1,0,0,0,0,0,0,0,0,0
"Congo (Kinshasa)",11,7,9,8,9,22,15,16,18,6,11,4,0,0,1,0,0,0,0,0,0
"Lesotho",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Liberia",0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Libya",8,10,3,9,19,12,10,6,5,5,5,1,0,2,0,0,1,0,0,0,0
"Madagascar",1,1,3,6,13,20,7,5,4,8,1,1,1,0,0,0,0,0,0,0,0
"Malawi",0,2,1,0,3,2,2,5,3,4,0,0,0,0,0,0,0,0,0,0,0
"Mali",3,1,1,4,2,8,6,2,2,0,0,0,1,0,0,0,0,0,0,0,0
"Morocco",8,10,9,80,77,89,103,64,40,17,14,6,1,1,0,1,0,0,0,0,0
"Mauritania",0,0,0,0,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Mauritius",4,0,0,5,17,23,11,7,5,3,1,2,1,0,0,1,0,0,0,0,0
"Mozambique",0,1,2,0,2,3,3,2,0,4,1,0,0,0,0,0,0,0,0,0,0
"Niger",2,3,3,0,1,1,2,2,3,2,3,1,1,0,0,0,0,0,0,0,0
"Nigeria",15,12,7,10,20,42,55,33,18,12,5,2,0,0,0,0,0,0,0,0,0
"Burkina Faso",1,0,1,3,6,7,12,4,5,1,2,3,1,0,0,0,0,0,0,0,0
"Zimbabwe",3,2,0,6,14,11,6,5,1,2,1,0,1,0,0,0,0,0,0,0,0
"Rwanda",2,6,4,4,4,9,6,2,2,3,5,0,0,0,0,0,0,0,0,0,0
"Zambia",0,0,2,1,3,1,3,3,1,3,0,2,1,0,0,0,0,0,0,0,0
"Sao Tomé and Principe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Senegal",7,14,13,5,17,38,38,30,18,8,6,0,1,1,0,0,0,0,0,0,0
"Seychelles",0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sierra Leone",2,0,0,1,1,2,4,4,2,2,1,1,0,0,0,0,0,0,0,0,0
"Somalia",25,15,22,135,134,78,16,12,3,3,3,0,3,1,2,0,0,0,0,0,0
"South Africa",11,13,10,10,13,33,37,34,37,14,9,3,4,0,1,0,0,0,0,0,0
"Sudan",5,1,7,6,11,13,14,15,3,9,1,1,1,1,0,0,0,0,0,0,0
"Namibia",0,2,0,3,1,1,0,4,2,2,1,1,0,0,0,0,0,0,0,0,0
"Eswatini",0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"Tanzania",5,3,1,5,1,12,11,7,3,3,2,0,1,0,0,0,0,0,0,0,0
"Togo",11,11,3,5,7,11,14,12,5,4,2,0,0,0,0,0,0,0,0,0,0
"Chad",1,3,0,1,0,1,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"Tunisia",28,6,9,55,108,151,121,56,20,10,8,5,3,0,0,0,0,0,0,0,0
"Uganda",2,0,0,1,5,12,3,8,5,4,0,2,0,0,0,1,0,0,0,0,0
"Egypt",16,26,23,22,23,59,67,56,24,10,11,7,4,2,0,1,1,0,1,0,0
"Central African Republic",0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Eritrea",213,212,127,904,1458,1181,614,328,210,82,32,11,7,2,1,2,0,1,0,0,0
"South Sudan",1,1,0,0,0,0,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0
"Western Sahara",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",15,15,12,9,13,40,50,56,29,14,8,3,1,3,0,2,0,0,0,0,0
"Bahamas",0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Barbados",0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"Bolivia",3,4,5,10,9,24,33,14,12,8,4,4,3,0,1,0,0,0,0,0,0
"Brazil",58,67,94,155,139,297,308,238,171,97,59,33,14,6,1,1,2,0,0,0,0
"Chile",7,7,8,8,11,29,43,31,13,13,7,0,5,0,1,0,0,1,0,0,0
"Costa Rica",2,4,2,7,8,13,14,16,6,4,3,0,1,0,1,0,0,0,0,0,0
"Dominican Republic",13,22,45,24,36,69,71,51,25,23,8,4,2,0,0,0,0,0,0,0,0
"Ecuador",9,13,7,23,23,37,36,32,20,10,10,3,2,3,0,0,0,0,0,0,0
"El Salvador",0,0,0,1,7,9,6,3,0,2,1,0,0,0,0,0,0,0,0,0,0
"Guatemala",1,4,3,4,3,8,5,5,5,3,2,1,1,0,0,0,0,0,0,0,0
"Guyana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haiti",3,3,2,0,0,5,9,3,3,6,2,1,0,0,0,0,0,0,0,0,0
"Belize",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Honduras",0,1,0,3,7,5,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0
"Jamaica",0,1,2,2,2,6,5,3,3,2,2,1,0,0,0,0,0,0,0,0,0
"Canada",57,53,34,39,163,232,180,119,106,50,46,32,14,7,3,3,2,1,0,0,0
"Colombia",3,7,18,26,56,110,104,64,25,21,8,6,1,1,2,1,0,1,0,0,0
"Cuba",1,8,3,6,13,45,28,27,13,7,3,3,4,0,0,0,0,0,0,0,0
"Mexico",6,18,29,71,73,136,108,57,28,17,13,1,0,0,0,0,0,0,0,0,0
"Nicaragua",1,1,3,3,2,10,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Panama",0,0,0,3,4,8,2,5,0,1,4,0,0,0,0,1,1,0,0,0,0
"Paraguay",2,0,4,5,5,12,5,2,1,4,7,0,0,0,1,0,0,0,0,0,0
"Peru",2,5,5,12,22,38,48,23,14,10,5,6,4,3,0,1,1,0,0,0,0
"Suriname",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Trinidad and Tobago",0,0,1,1,1,1,3,3,2,3,0,2,1,1,0,0,0,0,0,0,0
"Uruguay",0,0,2,2,2,5,6,3,4,2,0,2,1,0,0,1,1,0,0,0,0
"Venezuela",2,3,3,7,22,33,32,21,10,4,2,1,0,0,1,1,0,0,0,0,0
"United States",276,238,203,235,359,509,468,374,314,253,194,125,63,31,9,6,1,2,0,0,0
"Dominica",1,0,0,0,1,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
"Grenada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Saint Lucia",0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Saint Vincent and the Grenadines",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saint Kitts and Nevis",0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Afghanistan",36,47,50,130,106,65,43,29,20,14,7,7,8,3,2,1,0,0,0,0,0
"Bahrain",3,0,0,1,4,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0
"Bhutan",0,0,1,3,1,7,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Brunéi Darussalam",1,1,3,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Myanmar",3,1,0,15,14,6,1,1,3,1,2,0,0,0,0,0,0,0,0,0,0
"Sri Lanka",38,113,107,65,144,234,183,166,72,32,27,20,8,5,4,1,1,0,0,0,0
"Taiwan (Chinese Taipei)",6,0,4,50,122,62,40,10,9,3,4,1,2,0,0,0,0,0,0,0,0
"China",92,52,61,598,1181,681,402,220,119,51,42,26,24,17,6,3,2,1,1,0,0
"India",254,146,60,86,277,632,728,348,157,45,31,12,16,4,4,1,4,1,0,0,0
"Indonesia",7,4,14,62,64,43,48,31,16,12,6,0,1,0,0,2,0,0,0,0,0
"Iraq",26,18,8,21,38,50,45,23,15,7,9,3,3,0,1,2,0,0,0,0,0
"Iran",6,5,10,21,42,89,87,38,25,17,10,4,1,5,2,2,1,1,0,0,0
"Israel",18,17,6,3,17,32,40,28,11,12,8,3,5,0,0,0,0,0,1,0,0
"Japan",61,45,48,119,80,110,152,128,68,33,28,16,10,3,2,1,0,0,0,0,0
"Yemen",1,6,3,3,2,5,11,3,1,3,1,0,2,0,0,0,0,0,0,0,0
"Jordan",4,8,3,18,14,15,11,9,8,4,3,3,0,0,2,0,0,0,0,0,0
"Cambodia",0,1,3,5,10,17,10,5,3,2,0,0,0,0,0,0,0,0,0,0,0
"Qatar",2,0,0,1,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Kuwait",5,3,2,2,2,3,2,3,2,1,1,1,0,0,0,0,0,1,0,0,0
"Laos",1,0,0,2,3,7,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0
"Lebanon",5,9,13,28,55,58,31,34,16,10,2,1,1,1,0,0,1,0,0,0,0
"Malaysia",2,9,11,29,73,17,24,22,12,10,4,5,2,3,0,4,1,0,0,0,0
"Maldives",0,0,1,1,1,1,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0
"Oman",2,1,3,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mongolia",11,5,7,6,12,10,12,14,6,1,2,0,0,0,1,0,0,0,0,0,0
"Nepal",3,0,1,5,16,25,18,9,4,6,0,0,0,0,0,0,0,0,0,0,0
"North Korea",1,1,2,1,4,1,0,0,1,1,3,0,0,1,0,0,0,0,0,0,0
"United Arab Emirates",3,2,2,5,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0
"Pakistan",27,21,14,22,32,55,43,43,17,10,11,3,2,1,1,0,0,1,0,0,0
"Philippines",25,20,26,26,48,126,129,75,59,29,29,12,7,4,2,0,0,0,0,0,0
"Saudi Arabia",25,17,17,31,27,18,25,14,7,5,4,2,5,2,0,1,0,0,0,0,0
"Singapore",0,4,3,6,64,31,28,16,13,8,5,2,1,0,0,0,0,0,0,0,0
"South Korea",19,28,18,75,169,124,102,65,38,30,7,7,3,0,1,0,1,0,0,0,0
"Syria",417,485,365,393,383,381,358,274,216,186,109,81,59,34,20,22,7,1,1,1,0
"Thailand",24,46,41,54,122,191,156,131,67,45,20,7,2,1,1,0,0,0,0,0,0
"Vietnam",11,11,9,87,149,70,38,19,17,3,5,7,1,3,0,1,0,0,0,0,0
"Bangladesh",18,11,8,7,25,33,30,19,13,4,3,0,0,1,0,0,0,0,0,0,0
"Timor-Leste",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Palestine",3,0,0,2,2,2,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"Armenia",3,8,9,5,9,10,12,9,8,4,2,1,3,2,0,0,0,0,0,0,0
"Azerbaijan",4,6,8,14,31,14,7,13,6,2,1,0,0,0,0,0,1,0,0,0,0
"Georgia",5,4,2,8,12,14,15,13,14,1,2,2,0,0,1,0,0,0,0,0,0
"Kazakhstan",8,8,10,58,58,38,17,22,6,2,2,2,0,0,0,0,0,0,0,0,0
"Kyrgyzstan",1,1,4,10,5,10,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0
"Tajikistan",1,0,1,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turkmenistan",1,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Uzbekistan",2,5,5,4,7,10,9,10,4,2,1,1,0,1,1,0,0,0,0,0,0
"Australia",47,45,26,21,44,84,116,98,68,38,26,24,10,2,1,1,0,0,0,0,0
"Fiji",1,2,0,0,0,3,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0
"Nauru",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vanuatu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
