"Citizenship","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years or older"
"Czechia",36,17,8,17,120,173,128,114,45,41,22,5,3,1,2,0,0,1,0,0,0
"Serbia",69,54,83,109,346,332,205,169,119,67,44,26,18,2,-2,3,1,2,-1,0,0
"Croatia",27,10,11,8,82,95,71,37,34,19,27,17,5,5,3,0,2,0,0,0,0
"Slovenia",31,25,32,27,82,94,87,73,51,37,27,8,4,0,1,2,0,0,0,0,0
"Bosnia and Herzegovina",26,18,23,38,160,143,88,61,35,31,24,10,7,3,2,1,-1,0,0,0,0
"Montenegro",8,4,5,8,25,13,16,4,7,5,3,0,1,0,1,0,0,0,0,0,0
"North Macedonia",99,73,63,109,477,299,118,100,83,49,18,7,0,2,4,2,3,2,0,0,0
"Kosovo",140,71,103,224,889,618,262,167,82,53,31,12,6,8,6,3,3,-1,0,0,0
"Estonia",7,4,4,3,19,25,16,8,8,10,1,0,0,0,0,0,0,0,0,0,0
"Latvia",18,13,12,15,42,46,36,35,19,7,7,3,2,2,1,0,0,0,0,0,0
"Lithuania",12,10,4,13,43,71,35,17,21,8,8,3,1,0,1,1,0,0,0,0,0
"Moldova",4,4,3,6,11,25,22,7,4,2,3,3,2,0,0,0,0,0,0,0,0
"Russia",131,138,188,327,322,392,306,199,146,94,75,46,31,16,9,5,6,0,1,0,0
"Ukraine",24,32,43,75,101,201,134,91,41,26,15,12,9,3,1,2,1,0,0,0,0
"Belarus",9,11,7,13,19,30,27,15,13,7,3,4,1,0,0,0,0,0,0,0,0
"Equatorial Guinea",0,2,2,0,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ethiopia",79,21,16,23,44,72,59,45,23,6,6,3,2,2,0,0,0,0,0,0,0
"Djibouti",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Algeria",10,7,2,13,37,97,66,47,25,16,8,2,2,2,1,2,0,0,0,0,0
"Angola",32,7,4,9,10,12,9,11,7,6,4,0,1,0,0,0,0,0,0,0,0
"Botswana",0,1,2,1,1,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Burundi",1,0,1,3,1,6,2,6,0,1,2,0,0,0,0,0,0,0,0,0,0
"Benin",3,7,2,4,7,14,9,10,3,1,2,4,0,0,1,0,0,0,0,0,0
"Côte d'Ivoire",8,7,23,19,17,30,22,24,13,10,7,4,0,0,0,0,0,0,0,0,0
"Gabon",0,3,3,8,11,4,3,-5,-2,2,0,0,0,0,0,0,0,0,0,0,0
"Gambia",2,0,0,56,71,38,17,14,3,3,0,0,1,0,0,0,0,0,0,0,0
"Ghana",10,8,7,11,16,24,25,19,4,6,8,4,1,0,3,0,1,0,0,0,0
"Guinea-Bissau",3,2,1,41,69,25,16,8,6,1,0,1,0,0,0,0,0,0,0,0,0
"Guinea",8,9,5,49,40,25,13,10,5,2,1,0,1,0,0,0,0,0,0,0,0
"Cameroon",17,10,29,16,23,47,44,32,20,8,5,1,2,0,-1,0,0,0,0,0,0
"Cabo Verde",6,6,2,4,2,11,11,4,2,1,1,1,0,0,0,0,0,0,0,0,0
"Kenya",3,9,10,15,31,35,32,17,16,9,8,5,1,1,0,0,0,0,0,0,0
"Comoros",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Congo (Brazzaville)",4,2,1,1,2,8,4,5,2,1,0,0,0,1,0,0,0,0,0,0,0
"Congo (Kinshasa)",44,11,14,26,22,40,45,23,20,11,5,6,6,3,2,-1,0,0,0,0,0
"Lesotho",0,0,0,1,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Liberia",-1,1,1,6,4,2,2,5,0,1,1,0,0,0,0,0,0,0,0,0,0
"Libya",9,16,11,13,13,6,10,9,10,8,7,3,3,1,0,0,1,0,0,0,0
"Madagascar",5,3,3,11,8,13,16,13,9,7,3,0,3,0,0,0,0,0,0,0,0
"Malawi",1,3,1,0,3,2,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0
"Mali",0,1,4,17,23,28,17,10,3,2,3,3,2,0,0,0,0,0,0,0,0
"Morocco",22,10,9,104,98,139,107,53,40,19,10,4,2,1,1,1,1,0,0,0,0
"Mauritania",0,1,0,4,9,7,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
"Mauritius",3,8,3,5,13,17,10,8,10,3,3,4,1,0,1,0,0,0,0,0,0
"Mozambique",0,1,1,1,1,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0
"Niger",3,1,2,1,4,1,5,3,1,1,1,0,0,0,0,0,0,0,0,0,0
"Nigeria",42,29,18,16,50,88,82,46,21,10,13,2,1,-1,0,0,0,0,0,0,0
"Burkina Faso",1,1,3,2,4,12,9,10,1,3,0,0,1,0,0,0,0,0,0,0,0
"Zimbabwe",4,2,4,10,18,8,4,3,1,7,4,0,0,1,0,0,0,0,0,0,0
"Rwanda",7,5,0,1,4,2,8,11,4,3,2,0,0,0,0,0,0,0,0,0,0
"Zambia",2,2,3,1,6,2,4,3,5,0,0,0,0,1,0,0,0,0,0,0,0
"Sao Tomé and Principe",0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Senegal",12,8,13,26,20,42,31,18,10,10,3,1,3,0,0,0,0,0,0,0,0
"Seychelles",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sierra Leone",0,0,1,6,8,5,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"Somalia",112,119,81,97,61,58,23,9,9,9,10,6,14,3,2,2,0,0,0,0,0
"South Africa",19,12,15,5,18,40,54,32,32,13,15,6,0,1,0,1,0,0,0,0,0
"Sudan",4,4,4,7,14,15,14,5,11,4,6,0,2,0,0,0,0,0,0,0,0
"Namibia",1,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Eswatini",0,2,1,2,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0
"Tanzania",0,0,4,5,9,8,12,7,8,3,1,1,1,0,0,0,0,0,0,0,0
"Togo",14,6,2,3,11,12,24,16,12,4,5,2,1,2,0,1,0,0,0,0,0
"Chad",1,0,0,6,4,3,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"Tunisia",19,11,10,48,94,180,120,53,29,16,5,4,1,3,1,0,0,0,0,0,0
"Uganda",3,4,4,5,12,15,9,11,4,1,0,1,0,1,0,0,0,0,0,0,0
"Egypt",31,14,25,26,38,96,68,58,23,16,10,14,5,2,3,1,3,0,0,0,0
"Central African Republic",0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Eritrea",250,354,319,369,434,624,456,296,145,67,44,12,20,5,5,1,1,0,0,0,0
"South Sudan",2,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Western Sahara",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",11,6,9,13,12,46,54,39,28,14,10,1,4,2,0,3,0,0,0,0,0
"Bahamas",0,0,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"Barbados",0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Bolivia",3,3,11,16,9,24,29,19,7,4,8,2,0,0,0,0,0,0,0,0,0
"Brazil",75,86,123,137,200,327,344,244,126,101,51,31,12,6,4,0,0,0,0,0,0
"Chile",12,4,0,10,20,31,44,23,18,7,6,8,8,5,0,2,1,0,0,0,0
"Costa Rica",1,1,1,5,8,19,4,9,2,1,1,0,0,0,1,0,0,0,0,0,0
"Dominican Republic",19,28,40,24,49,92,84,44,29,18,11,3,5,0,1,0,0,0,0,0,0
"Ecuador",21,12,15,32,28,45,50,32,18,18,8,9,2,0,0,0,0,0,0,0,0
"El Salvador",1,0,1,2,4,8,6,3,2,4,0,0,0,0,0,0,0,0,0,0,0
"Guatemala",2,1,3,3,3,11,16,2,0,2,0,2,0,1,1,1,0,0,0,0,0
"Guyana",0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Haiti",17,5,2,0,1,5,5,8,4,1,3,0,1,0,0,0,2,0,0,0,0
"Belize",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Honduras",0,2,4,3,6,15,9,6,1,0,1,1,0,1,0,0,0,0,0,0,0
"Jamaica",0,3,0,1,7,6,6,4,3,3,2,0,2,0,0,0,0,0,0,0,0
"Canada",51,59,30,36,203,227,178,106,98,62,45,29,11,9,3,4,3,1,0,0,0
"Colombia",9,10,25,48,74,111,102,52,23,20,24,3,1,3,4,2,0,0,0,0,0
"Cuba",2,4,10,5,21,43,25,24,21,16,8,6,4,1,0,0,0,0,0,0,0
"Mexico",15,16,24,50,107,144,85,48,48,10,10,-2,3,2,1,1,0,0,0,0,0
"Nicaragua",1,1,1,0,3,6,4,2,1,0,0,3,0,0,0,0,0,0,0,0,0
"Panama",1,0,1,0,6,8,6,2,3,1,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",7,3,1,2,1,9,19,3,1,2,2,3,2,0,0,0,0,0,0,0,0
"Peru",4,5,5,11,27,39,35,34,23,9,13,8,2,3,2,0,0,0,0,0,0
"Suriname",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trinidad and Tobago",0,0,2,1,0,5,8,0,0,1,3,0,0,0,0,0,0,0,0,0,0
"Uruguay",0,0,0,0,3,5,4,3,1,2,0,3,1,2,0,0,0,0,0,0,0
"Venezuela",0,7,4,10,18,38,41,19,10,5,4,0,2,2,0,0,0,0,0,0,0
"United States",290,241,218,196,369,594,447,374,343,247,246,134,67,20,7,10,4,1,2,0,0
"Dominica",0,0,0,0,1,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"Grenada",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saint Lucia",0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saint Vincent and the Grenadines",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saint Kitts and Nevis",0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"Afghanistan",110,130,93,236,225,174,109,68,26,14,17,15,6,6,2,1,1,1,0,0,0
"Bahrain",2,1,0,4,1,1,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0
"Bhutan",2,0,0,1,3,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0
"Brunéi Darussalam",0,0,0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Myanmar",2,1,4,2,4,12,4,8,4,2,3,0,0,0,0,0,0,0,0,0,0
"Sri Lanka",76,57,28,38,105,229,196,129,72,45,19,10,9,2,7,3,2,-1,0,0,0
"Taiwan (Chinese Taipei)",6,3,7,54,99,47,39,20,8,4,1,2,1,2,0,0,0,0,0,0,0
"China",84,56,68,553,1223,712,500,309,129,62,46,33,12,5,7,5,2,0,0,0,0
"India",211,109,37,93,303,644,503,182,90,52,19,5,8,1,5,2,2,0,0,0,0
"Indonesia",6,9,9,74,76,59,53,24,19,14,4,1,1,0,4,0,0,0,0,0,0
"Iraq",45,26,16,30,54,79,50,23,22,11,6,6,6,4,1,2,1,0,0,0,0
"Iran",15,16,23,24,53,140,110,65,36,23,18,8,4,7,1,3,0,0,0,0,0
"Israel",16,13,10,9,13,25,37,29,24,5,4,6,8,3,1,1,0,0,0,0,0
"Japan",64,59,39,108,52,111,151,139,93,36,24,13,7,2,2,1,0,0,0,0,0
"Yemen",2,3,0,2,6,6,9,2,2,3,1,0,0,0,1,0,0,0,0,0,0
"Jordan",2,1,3,9,7,17,13,9,5,2,1,2,0,0,0,0,0,0,0,0,0
"Cambodia",1,1,0,2,13,8,16,1,8,2,0,0,0,1,0,0,0,0,0,0,0
"Qatar",7,1,1,3,0,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0
"Kuwait",2,3,7,4,5,3,2,1,1,4,0,1,1,0,0,0,0,0,0,0,0
"Laos",1,2,3,1,3,2,6,4,1,4,1,0,0,0,0,0,0,0,0,0,0
"Lebanon",14,6,5,24,47,52,51,28,13,2,-1,0,2,2,0,0,0,0,0,0,0
"Malaysia",7,3,4,14,83,31,29,24,11,9,3,4,1,0,0,0,0,0,0,0,0
"Maldives",0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oman",3,0,5,0,3,1,2,1,4,1,1,1,0,2,0,0,0,0,0,0,0
"Mongolia",2,5,6,19,18,17,10,7,8,1,0,2,0,1,1,1,0,0,0,0,0
"Nepal",4,2,3,12,25,36,15,11,6,2,2,1,1,2,0,0,0,0,0,0,0
"North Korea",0,2,5,2,0,1,3,4,3,0,2,3,1,0,0,0,0,0,0,0,0
"United Arab Emirates",4,1,4,6,5,1,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0
"Pakistan",27,27,19,15,45,90,69,35,19,10,10,4,3,2,0,1,1,0,0,0,0
"Philippines",26,32,35,17,61,148,104,72,42,23,23,18,5,3,0,2,0,0,0,0,0
"Saudi Arabia",21,7,11,37,26,20,17,9,7,0,5,3,0,0,0,0,0,0,0,0,0
"Singapore",8,2,4,6,76,25,22,12,9,7,3,3,0,0,0,0,0,0,0,0,0
"South Korea",17,23,35,64,141,96,73,55,61,32,10,8,3,4,0,0,0,0,0,0,0
"Syria",104,89,57,70,138,172,133,91,39,23,13,14,12,14,4,4,5,1,1,0,0
"Thailand",41,40,34,57,151,135,184,113,72,45,24,10,0,1,0,0,2,0,0,0,0
"Vietnam",13,15,16,69,128,67,41,25,12,6,6,6,1,4,0,0,0,0,0,0,0
"Bangladesh",13,9,1,6,24,46,14,19,9,3,2,1,0,0,0,0,0,0,0,0,0
"Timor-Leste",0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Palestine",0,0,0,0,4,7,4,2,3,0,0,1,1,0,0,0,1,0,0,0,0
"Armenia",3,10,3,6,13,14,14,18,5,7,4,4,3,4,2,0,1,0,0,0,0
"Azerbaijan",11,14,9,23,34,23,11,10,5,2,1,0,0,0,0,0,0,0,0,0,0
"Georgia",1,8,6,3,21,25,19,12,11,4,3,2,0,0,-1,2,1,0,0,0,0
"Kazakhstan",3,8,13,63,61,21,9,9,8,4,2,2,2,4,1,0,0,0,0,0,0
"Kyrgyzstan",3,3,0,1,8,9,6,2,1,2,1,1,0,0,0,0,0,0,0,0,0
"Tajikistan",2,1,2,1,3,7,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0
"Turkmenistan",0,0,0,1,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0
"Uzbekistan",4,1,4,12,8,23,15,4,1,3,0,-1,4,0,0,0,0,0,0,0,0
"Australia",42,39,24,30,57,100,93,69,59,42,27,19,3,0,2,0,0,0,0,0,0
"Fiji",0,0,2,0,1,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0
"Nauru",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vanuatu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"New Zealand",11,9,5,2,17,30,22,24,11,8,4,6,0,1,1,0,0,0,0,0,0
"Papua New Guinea",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tonga",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Samoa",0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solomon Islands",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tuvalu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kiribati",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marshall Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Micronesia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Palau",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cook Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
