"Citizenship","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years or older"
"Kosovo",100,47,58,170,787,660,308,162,116,66,28,12,9,5,5,0,2,0,0,1,0
"Estonia",5,11,4,3,18,27,29,16,4,5,3,1,0,0,0,0,0,0,0,0,0
"Latvia",10,16,16,11,45,60,47,35,28,11,3,2,4,0,1,0,0,0,0,0,0
"Lithuania",8,26,9,9,26,79,83,42,28,28,17,11,11,2,0,0,0,0,0,0,0
"Moldova",6,7,0,7,7,16,11,13,4,4,1,3,0,0,0,0,0,0,0,0,0
"Russia",121,96,107,197,231,330,326,184,108,75,50,37,21,6,6,9,1,0,0,0,0
"Ukraine",27,36,38,70,118,137,144,89,46,34,16,6,7,2,2,2,2,1,1,0,0
"Belarus",2,3,4,5,11,26,24,16,8,2,1,3,1,0,0,2,1,0,0,0,0
"Equatorial Guinea",2,3,5,5,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"Ethiopia",43,22,13,84,100,100,64,39,13,5,9,6,0,0,1,1,1,0,0,0,0
"Djibouti",0,0,0,1,2,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Algeria",21,10,4,11,26,54,52,48,29,13,3,7,2,1,1,0,0,0,0,0,0
"Angola",6,1,0,5,5,6,4,4,1,2,0,2,3,0,0,1,0,0,0,0,0
"Botswana",0,3,3,3,1,0,2,2,5,1,1,1,0,0,0,0,0,0,0,0,0
"Burundi",0,1,3,3,4,2,2,4,2,4,1,0,0,1,0,0,0,0,0,0,0
"Benin",6,7,4,4,1,4,6,2,3,1,1,1,1,0,0,0,0,0,0,0,0
"Côte d'Ivoire",6,9,10,8,7,22,20,16,7,5,2,0,0,0,0,0,0,0,0,0,0
"Gabon",0,0,1,0,2,4,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0
"Gambia",3,1,0,4,6,9,4,8,3,2,0,1,0,0,0,0,0,0,0,0,0
"Ghana",6,5,2,2,8,18,28,13,5,8,2,1,0,0,0,0,0,0,0,0,0
"Guinea-Bissau",0,2,2,1,3,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0
"Guinea",3,4,3,36,12,16,6,10,1,1,1,1,0,0,0,0,0,0,0,0,0
"Cameroon",12,10,13,12,21,39,55,37,22,5,4,1,5,0,0,0,0,0,0,0,0
"Cabo Verde",2,3,3,2,2,11,8,5,3,3,4,0,0,0,0,0,0,0,0,0,0
"Kenya",8,13,10,18,24,23,33,24,13,7,3,2,3,1,2,0,0,0,0,0,0
"Comoros",2,1,0,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"Congo (Brazzaville)",1,1,8,6,1,5,3,1,4,4,2,1,0,0,1,0,0,0,0,0,0
"Congo (Kinshasa)",12,12,16,25,12,12,31,18,15,8,7,4,3,2,1,0,1,0,0,0,0
"Lesotho",5,2,2,2,0,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"Liberia",0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Libya",2,3,3,4,9,4,5,3,4,3,1,2,2,0,3,0,0,0,0,0,0
"Madagascar",0,0,1,9,7,11,8,6,6,3,4,0,1,2,0,0,1,0,0,0,0
"Malawi",2,1,1,3,0,5,3,4,1,1,0,0,1,2,0,0,0,0,0,0,0
"Mali",2,1,3,3,3,6,3,3,3,1,0,1,0,0,0,0,0,0,0,0,0
"Morocco",20,9,15,64,73,120,86,65,42,18,15,5,1,1,3,0,0,1,0,0,0
"Mauritania",1,3,2,1,2,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0
"Mauritius",0,2,0,10,15,16,8,6,6,2,1,2,0,0,0,0,0,0,0,0,0
"Mozambique",1,2,0,1,1,1,0,4,2,1,0,0,1,0,0,0,0,0,0,0,0
"Niger",0,0,0,1,4,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Nigeria",6,11,6,14,18,37,44,31,19,5,5,1,1,1,0,0,0,0,0,0,0
"Burkina Faso",2,1,0,1,2,8,11,4,3,0,1,0,0,0,0,0,0,0,0,0,0
"Zimbabwe",3,1,0,6,7,5,11,4,2,2,0,1,0,0,0,0,0,0,0,0,0
"Rwanda",1,2,2,0,1,4,4,4,1,3,4,0,0,0,1,0,0,0,0,0,0
"Zambia",2,5,3,2,0,3,6,3,5,2,2,0,0,0,0,0,0,0,0,0,0
"Sao Tomé and Principe",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Senegal",6,15,4,9,11,19,30,22,16,7,5,1,2,0,0,1,0,0,0,0,0
"Seychelles",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sierra Leone",0,0,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
"Somalia",48,21,23,207,304,136,47,18,6,4,1,3,3,2,0,0,0,0,0,0,0
"South Africa",9,15,20,19,22,38,53,34,33,23,12,5,3,0,0,0,0,0,0,0,0
"Sudan",7,9,9,16,37,47,42,17,10,3,4,2,1,0,0,0,1,0,0,0,0
"Namibia",1,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Eswatini",0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Tanzania",1,1,1,2,3,6,8,6,4,2,1,0,1,0,0,1,0,0,0,0,0
"Togo",4,2,8,2,8,8,18,12,9,4,3,0,0,0,0,0,0,0,0,0,0
"Chad",1,0,1,2,5,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Tunisia",22,13,11,48,88,162,135,68,42,9,10,7,1,1,0,1,0,0,0,0,0
"Uganda",0,5,1,4,5,11,15,8,2,2,0,3,1,0,0,0,0,0,0,0,0
"Egypt",26,21,15,33,29,79,59,54,21,17,13,4,2,5,0,1,0,2,0,0,0
"Central African Republic",0,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Eritrea",326,261,173,1615,2128,1299,694,336,169,70,19,6,8,7,3,0,1,0,0,0,0
"South Sudan",0,0,0,1,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Western Sahara",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",2,3,5,12,15,41,40,31,20,9,7,3,2,3,4,1,1,1,0,1,0
"Bahamas",0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
"Barbados",0,1,1,0,0,1,0,2,0,1,1,0,0,1,1,0,0,0,0,0,0
"Bolivia",3,4,9,15,10,19,23,27,19,11,12,2,2,0,0,0,0,0,0,0,0
"Brazil",74,72,94,137,135,274,344,258,176,107,57,41,11,10,7,2,0,1,0,0,0
"Chile",9,8,7,11,8,38,50,28,15,7,3,9,3,2,0,1,0,0,0,0,0
"Costa Rica",1,3,6,7,12,17,17,12,11,2,0,0,1,0,0,1,0,0,0,0,0
"Dominican Republic",11,29,28,25,26,53,76,39,25,10,11,8,0,0,0,0,0,0,0,0,0
"Ecuador",6,9,4,14,26,34,41,35,15,9,7,3,3,2,0,0,1,1,0,0,0
"El Salvador",0,0,2,2,7,3,4,4,2,1,2,1,0,0,0,0,0,0,0,0,0
"Guatemala",0,2,3,5,1,10,6,5,4,2,3,0,0,0,0,0,0,0,0,0,0
"Guyana",0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0
"Haiti",4,2,0,2,1,5,7,4,4,2,5,0,0,0,1,0,0,0,0,0,0
"Belize",0,0,0,2,1,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"Honduras",0,0,1,3,3,8,7,4,1,0,2,0,0,0,0,0,0,0,0,0,0
"Jamaica",0,0,1,2,5,4,3,3,0,1,3,0,0,0,0,0,0,0,0,0,0
"Canada",37,42,35,51,125,166,140,97,58,60,36,22,18,7,0,1,0,0,0,0,0
"Colombia",9,16,9,27,64,108,87,64,31,13,12,2,3,1,0,1,0,0,0,0,0
"Cuba",2,5,1,3,16,45,35,10,13,10,5,4,2,0,0,0,0,0,0,0,0
"Mexico",16,14,24,78,77,114,90,69,31,18,9,10,1,3,1,0,0,0,0,0,0
"Nicaragua",0,1,2,5,2,5,6,7,3,2,1,0,0,0,0,0,0,0,0,0,0
"Panama",1,1,1,2,7,6,9,3,4,2,1,2,0,1,0,0,0,0,0,0,0
"Paraguay",1,0,4,2,4,9,7,6,6,2,1,1,0,1,0,0,0,0,0,0,0
"Peru",5,6,5,8,14,34,44,34,26,16,9,4,2,2,1,1,0,0,1,0,0
"Suriname",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trinidad and Tobago",0,0,1,0,1,1,6,2,0,3,1,3,1,0,0,1,0,0,0,0,0
"Uruguay",0,0,1,1,1,7,8,3,3,2,2,0,0,1,0,0,0,0,0,0,0
"Venezuela",2,4,7,9,11,27,31,14,15,8,6,2,0,1,1,1,0,0,0,0,0
"United States",278,269,186,236,289,467,461,367,317,271,190,124,65,25,9,5,8,2,0,0,0
"Dominica",0,1,2,1,0,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"Grenada",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Saint Lucia",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saint Vincent and the Grenadines",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saint Kitts and Nevis",0,0,0,0,0,1,0,0,1,1,2,1,0,0,0,0,0,1,0,0,0
"Afghanistan",352,447,430,2065,1406,843,390,233,121,91,62,33,24,20,7,1,3,1,0,0,0
"Bahrain",1,0,0,5,4,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Bhutan",1,1,0,1,2,1,2,0,4,0,3,1,0,0,0,0,0,0,0,0,0
"Brunéi Darussalam",1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myanmar",2,1,0,15,19,3,7,5,2,1,2,3,0,1,0,0,0,0,0,0,0
"Sri Lanka",57,115,107,94,256,335,251,210,115,41,23,9,4,5,3,0,0,0,0,0,0
"Taiwan (Chinese Taipei)",5,4,2,68,132,69,32,16,6,4,2,0,2,0,0,0,0,0,0,0,0
"China",69,67,112,580,1215,648,399,238,125,81,46,26,18,18,9,4,6,2,0,0,0
"India",233,149,58,131,351,635,691,348,145,64,33,18,4,9,2,2,3,1,2,0,0
"Indonesia",3,8,6,42,78,41,38,31,24,6,3,4,0,1,0,2,0,0,0,0,0
"Iraq",163,189,139,144,273,322,202,128,85,36,34,13,5,3,2,0,0,0,0,0,0
"Iran",22,30,41,62,72,199,170,98,44,32,8,6,2,1,1,0,0,0,0,0,0
"Israel",19,18,8,3,11,23,20,32,21,11,2,6,2,4,2,0,0,0,0,0,0
"Japan",57,41,32,83,85,113,131,125,75,46,23,14,11,3,2,0,0,0,0,0,0
"Yemen",1,2,2,3,6,4,3,2,3,0,0,1,0,0,1,0,0,0,0,0,0
"Jordan",6,6,2,16,10,10,9,10,6,2,1,2,0,0,0,0,0,0,0,0,0
"Cambodia",3,1,1,3,8,11,8,4,1,1,1,0,0,0,0,0,0,0,0,0,0
"Qatar",1,3,0,1,0,3,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
"Kuwait",2,4,1,3,3,3,1,0,2,1,1,0,1,0,0,0,0,0,0,0,0
"Laos",0,2,0,1,4,8,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0
"Lebanon",18,4,4,19,55,60,48,27,13,6,3,0,1,1,0,0,0,0,0,0,0
"Malaysia",0,10,11,32,89,16,20,20,16,8,8,8,1,2,0,0,0,0,0,0,0
"Maldives",0,0,1,2,2,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Oman",0,0,1,1,3,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Mongolia",11,10,9,7,12,18,15,16,16,2,5,3,1,3,0,0,0,0,0,0,0
"Nepal",3,1,1,6,7,19,13,7,5,2,1,3,2,1,0,0,0,0,0,0,0
"North Korea",0,0,0,3,2,0,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0
"United Arab Emirates",1,3,0,6,0,2,2,3,0,0,2,0,1,0,0,1,0,0,0,0,0
"Pakistan",31,23,14,28,50,85,73,44,18,11,4,2,5,1,4,1,1,1,0,0,0
"Philippines",9,30,34,17,42,144,114,102,45,36,7,7,5,2,0,0,0,0,0,0,0
"Saudi Arabia",20,9,12,29,11,13,16,12,5,2,1,0,1,0,0,0,0,0,0,0,0
"Singapore",6,4,2,9,34,33,25,19,13,5,5,0,2,0,0,0,0,0,0,0,0
"South Korea",19,24,20,58,135,109,81,37,32,25,19,4,2,0,0,0,1,0,0,0,0
"Syria",441,536,298,518,744,642,518,313,184,126,100,63,46,24,17,10,6,0,1,0,0
"Thailand",28,53,54,52,118,118,151,130,88,51,29,17,4,2,2,2,0,0,0,0,0
"Vietnam",16,18,20,77,162,72,72,33,9,10,4,4,6,2,0,2,1,0,0,0,0
"Bangladesh",9,6,6,8,28,35,22,13,8,4,2,2,4,2,0,0,0,0,0,0,0
"Timor-Leste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Palestine",2,1,2,1,4,5,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0
"Armenia",3,4,2,5,4,11,13,4,7,3,1,4,3,0,0,0,0,0,0,0,0
"Azerbaijan",11,8,1,7,16,19,12,10,3,1,1,1,2,0,0,0,0,1,0,0,0
"Georgia",7,3,3,10,14,20,24,14,5,7,3,1,0,0,0,0,0,0,0,0,0
"Kazakhstan",9,4,10,54,39,21,19,11,4,4,2,1,0,0,1,1,0,1,0,1,0
"Kyrgyzstan",3,3,2,3,6,6,4,3,3,1,0,0,0,2,0,0,0,0,0,0,0
"Tajikistan",2,1,0,0,0,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turkmenistan",1,1,0,2,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Uzbekistan",4,7,5,6,2,9,10,9,2,0,0,0,0,0,1,0,0,0,0,0,0
"Australia",42,50,30,29,48,66,69,87,74,49,23,26,9,5,1,3,1,2,0,0,0
"Fiji",0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nauru",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vanuatu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"New Zealand",2,2,6,2,6,32,15,12,13,7,6,7,1,1,0,0,0,0,0,0,0
"Papua New Guinea",0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Tonga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Samoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solomon Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tuvalu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kiribati",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marshall Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Micronesia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Palau",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cook Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
