"Citizenship","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years or older"
"Slovakia",59,35,22,36,244,433,352,246,205,167,118,73,23,10,1,0,0,0,0,0,0
"Czechia",57,36,26,26,124,234,202,104,101,59,28,13,11,4,3,0,0,1,1,0,0
"Serbia",50,32,42,64,163,231,152,109,76,54,41,24,6,8,7,4,1,1,0,0,0
"Croatia",29,31,24,32,97,142,130,93,68,47,50,26,10,6,4,1,3,0,0,0,0
"Slovenia",47,44,26,22,96,132,107,84,55,39,12,18,2,1,0,2,1,0,0,0,0
"Bosnia and Herzegovina",11,10,7,9,83,97,82,31,30,17,10,9,6,4,4,0,1,0,0,0,0
"Montenegro",2,1,0,3,9,11,10,3,4,3,1,3,0,0,0,0,0,0,0,0,0
"North Macedonia",94,98,105,84,264,331,173,123,93,81,54,20,12,9,6,2,2,0,0,0,0
"Kosovo",60,58,50,86,499,463,242,142,102,66,44,24,10,6,2,1,3,0,0,0,0
"Estonia",7,3,3,6,14,19,31,20,6,8,3,1,1,2,0,0,0,0,0,0,0
"Latvia",15,10,7,12,22,47,49,35,25,16,13,7,9,4,0,0,0,0,0,0,0
"Lithuania",10,12,18,13,33,98,66,52,27,23,24,15,5,1,1,0,0,0,0,0,0
"Moldova",13,15,10,7,12,11,16,11,6,6,0,0,0,2,0,0,0,0,0,0,0
"Russia",75,82,96,147,202,266,300,203,109,79,27,21,13,8,12,0,2,1,1,0,0
"Ukraine",16,22,31,69,88,118,120,70,65,41,16,3,8,2,2,2,1,0,0,0,0
"Belarus",0,1,2,5,11,31,9,16,10,5,0,3,0,0,0,1,0,0,0,0,0
"Equatorial Guinea",0,0,0,1,0,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"Ethiopia",8,9,13,16,9,17,28,24,12,7,3,3,2,1,0,0,0,0,0,0,0
"Djibouti",0,1,2,1,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"Algeria",7,7,0,6,15,29,40,32,15,8,3,2,3,5,1,0,0,0,0,0,0
"Angola",4,4,2,4,3,6,9,1,6,2,3,2,0,2,0,0,0,0,0,0,0
"Botswana",0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Burundi",2,4,1,0,4,1,2,4,1,2,5,1,0,0,0,0,0,0,0,0,0
"Benin",3,1,1,1,1,4,6,1,3,1,0,0,0,0,0,0,0,0,0,0,0
"Côte d'Ivoire",8,7,7,11,16,15,20,20,6,5,6,3,0,0,0,0,0,0,0,0,0
"Gabon",0,0,2,3,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Gambia",0,1,2,5,6,8,7,5,1,1,2,0,0,0,0,0,0,0,0,0,0
"Ghana",10,5,4,4,6,14,15,15,7,7,4,2,1,0,0,0,0,0,0,0,0
"Guinea-Bissau",2,0,2,2,2,1,2,2,3,0,2,0,0,0,0,0,0,0,0,0,0
"Guinea",3,3,4,4,11,12,9,5,3,2,1,0,1,1,0,0,0,0,0,0,0
"Cameroon",12,12,17,14,9,44,41,43,19,13,8,4,4,1,0,1,0,0,0,0,0
"Cabo Verde",3,1,3,3,2,10,10,9,2,3,1,0,0,1,0,0,0,0,0,0,0
"Kenya",12,15,9,11,24,27,21,22,16,14,6,4,0,1,0,0,0,0,0,0,0
"Comoros",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Congo (Brazzaville)",2,2,1,1,3,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"Congo (Kinshasa)",8,3,3,5,8,12,21,18,11,7,2,2,4,0,0,0,1,0,0,0,0
"Lesotho",0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Liberia",1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"Libya",1,2,4,3,2,5,5,2,3,3,2,1,2,0,1,0,0,0,0,0,0
"Madagascar",1,1,3,8,11,14,13,3,3,3,0,1,1,0,0,0,0,0,0,0,0
"Malawi",1,2,0,0,1,4,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0
"Mali",1,0,2,2,4,1,5,2,1,2,1,0,0,0,0,0,0,0,0,0,0
"Morocco",11,10,7,122,67,106,85,44,30,13,10,8,6,3,0,0,2,0,0,0,0
"Mauritania",2,0,0,2,1,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Mauritius",0,1,3,1,6,5,8,10,6,1,3,1,1,0,0,0,0,0,0,0,0
"Mozambique",0,0,0,1,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0
"Niger",1,1,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Nigeria",20,8,7,7,24,38,33,27,21,9,5,6,1,0,0,0,0,0,0,0,0
"Burkina Faso",2,1,2,1,3,3,7,10,2,2,0,3,0,0,0,0,0,0,0,0,0
"Zimbabwe",3,2,4,5,4,4,6,10,9,2,1,1,0,0,0,0,0,0,0,0,0
"Rwanda",2,2,0,0,3,4,6,4,3,1,2,1,1,0,0,0,0,0,0,0,0
"Zambia",2,2,0,1,0,2,8,6,2,4,0,0,0,0,0,0,0,0,0,0,0
"Sao Tomé and Principe",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Senegal",7,1,3,6,7,23,19,15,12,15,4,4,1,0,0,0,0,0,0,0,0
"Seychelles",0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Sierra Leone",0,0,0,3,3,3,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0
"Somalia",23,16,8,32,34,21,15,8,3,4,0,0,0,0,1,1,0,0,0,0,0
"South Africa",4,4,9,11,12,31,37,38,14,13,11,6,3,2,0,0,0,0,0,0,0
"Sudan",5,6,5,8,8,3,6,8,1,0,5,3,1,1,0,0,0,0,0,0,0
"Namibia",0,0,0,1,0,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"Eswatini",0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Tanzania",0,0,2,4,3,10,11,6,3,2,2,0,2,1,0,0,0,0,0,0,0
"Togo",2,0,2,5,4,8,9,7,8,1,4,0,0,0,0,1,0,0,0,0,0
"Chad",2,2,0,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tunisia",11,9,8,47,60,107,90,53,35,15,6,5,1,0,1,1,0,1,0,0,0
"Uganda",3,4,7,3,1,5,10,8,4,2,0,0,0,0,0,1,0,0,0,0,0
"Egypt",10,14,15,35,30,51,55,39,24,10,6,9,3,2,3,2,0,1,0,0,0
"Central African Republic",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Eritrea",91,93,94,78,73,94,70,35,11,11,3,2,1,1,1,0,0,0,0,0,0
"South Sudan",0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Western Sahara",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",9,8,6,5,7,40,48,32,27,14,9,5,2,2,0,1,0,0,1,0,0
"Bahamas",0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"Barbados",0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Bolivia",1,2,1,2,7,17,15,8,9,9,0,2,0,1,0,0,0,0,0,0,0
"Brazil",44,72,67,93,126,240,278,233,163,111,45,27,14,6,3,2,0,0,0,0,0
"Chile",5,17,5,6,18,23,35,35,15,12,4,4,2,1,0,0,1,0,0,0,0
"Costa Rica",0,0,1,4,5,11,9,11,6,0,2,1,0,1,0,0,0,0,0,0,0
"Dominican Republic",8,14,12,16,25,33,37,22,25,14,3,3,1,0,1,0,0,0,0,0,0
"Ecuador",7,7,8,14,19,32,30,30,16,13,14,8,1,2,1,1,0,0,0,0,0
"El Salvador",0,0,0,1,3,2,6,1,5,2,1,0,0,0,0,0,0,0,0,0,0
"Guatemala",0,2,1,2,8,10,6,1,1,0,0,1,0,0,1,0,0,0,0,0,0
"Guyana",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haiti",3,1,0,0,2,3,3,6,3,1,1,1,2,0,0,0,0,0,0,0,0
"Belize",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Honduras",0,0,7,3,5,2,7,7,3,0,0,1,0,0,0,0,0,0,0,0,0
"Jamaica",1,1,1,2,4,2,6,2,3,4,1,0,0,0,0,0,0,0,0,0,0
"Canada",32,23,23,44,102,119,94,69,55,34,40,23,14,7,2,0,0,1,0,0,0
"Colombia",9,16,25,23,46,116,104,67,38,25,11,6,3,1,2,0,0,0,0,0,0
"Cuba",1,2,6,3,9,28,39,18,7,7,4,3,1,0,0,1,0,0,0,0,0
"Mexico",11,13,35,68,64,108,93,61,35,17,10,5,4,3,2,2,0,0,0,0,0
"Nicaragua",3,1,0,2,3,8,3,9,1,0,2,0,0,0,0,0,0,0,0,0,0
"Panama",3,3,1,3,5,3,3,1,3,2,2,0,0,0,1,0,0,0,0,0,0
"Paraguay",1,3,1,0,3,7,6,6,4,0,0,1,0,0,0,0,0,0,0,0,0
"Peru",2,2,5,8,16,31,35,24,17,10,5,0,3,6,2,0,0,2,0,0,0
"Suriname",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trinidad and Tobago",0,0,0,0,1,1,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0
"Uruguay",0,2,0,0,1,4,7,5,1,0,2,3,1,2,0,0,0,0,0,0,0
"Venezuela",1,6,9,9,7,30,30,14,12,9,1,3,3,0,1,0,3,0,0,0,0
"United States",205,188,142,186,236,355,370,296,275,164,155,86,49,24,4,4,2,2,0,2,0
"Dominica",0,0,2,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
"Grenada",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",0,0,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0
"Saint Lucia",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Saint Vincent and the Grenadines",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saint Kitts and Nevis",0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Afghanistan",79,100,78,243,164,153,82,63,25,24,12,10,6,5,2,1,0,0,0,0,0
"Bahrain",0,0,0,1,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Bhutan",0,0,0,0,1,1,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0
"Brunéi Darussalam",0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Myanmar",1,0,1,21,36,2,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0
"Sri Lanka",19,19,32,29,68,113,88,67,29,11,15,8,4,0,2,0,0,0,0,0,0
"Taiwan (Chinese Taipei)",2,1,4,15,83,40,32,17,9,6,4,1,2,0,0,0,0,0,0,0,0
"China",53,48,100,346,1092,544,329,180,97,67,37,12,5,10,3,0,3,0,0,0,0
"India",159,158,75,92,271,468,604,398,155,53,26,15,7,2,2,1,0,1,0,0,0
"Indonesia",6,8,7,36,55,31,39,31,25,11,3,0,0,2,1,2,0,0,0,0,0
"Iraq",26,17,24,22,32,43,48,25,23,10,5,3,4,0,2,1,0,0,0,0,0
"Iran",16,34,27,32,62,134,138,99,56,26,13,4,3,4,1,1,3,0,0,0,0
"Israel",16,8,7,12,4,26,26,26,9,9,8,2,1,1,0,0,0,0,1,0,0
"Japan",37,39,54,91,66,80,100,77,70,33,31,17,7,0,1,1,0,0,0,0,0
"Yemen",4,1,2,0,0,2,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0
"Jordan",3,5,1,5,9,5,12,7,5,0,4,1,0,1,0,0,0,0,0,0,0
"Cambodia",0,3,3,15,17,6,9,2,3,2,3,0,0,0,0,0,0,0,0,0,0
"Qatar",0,0,0,0,3,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Kuwait",0,0,1,3,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"Laos",0,0,0,0,1,2,4,0,1,3,2,0,0,0,0,0,0,0,0,0,0
"Lebanon",13,8,10,65,64,55,48,31,22,8,2,2,1,2,0,1,1,0,0,0,0
"Malaysia",1,0,3,19,53,24,17,10,9,9,1,1,1,1,0,0,0,0,0,0,0
"Maldives",0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"Oman",0,1,1,3,3,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Mongolia",5,5,3,6,8,10,14,7,4,3,3,1,0,1,1,1,0,0,0,0,0
"Nepal",0,0,1,5,6,14,13,4,3,1,1,0,1,1,0,0,0,0,0,0,0
"North Korea",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"United Arab Emirates",0,2,0,1,2,3,2,1,1,1,1,0,0,0,1,0,1,0,0,0,0
"Pakistan",24,13,8,23,20,42,28,27,22,12,2,3,1,0,2,0,0,0,0,0,0
"Philippines",7,13,15,14,26,68,96,68,47,28,29,8,3,5,1,0,0,0,0,0,0
"Saudi Arabia",12,3,9,21,40,12,14,9,4,5,0,0,1,1,0,0,0,0,1,0,0
"Singapore",3,5,7,7,19,25,22,22,11,16,10,4,0,0,0,0,0,0,0,0,0
"South Korea",11,14,11,42,95,99,77,49,30,23,14,2,2,2,1,0,0,0,0,0,0
"Syria",120,136,119,98,110,96,83,87,55,37,18,15,10,5,5,1,2,0,0,0,0
"Thailand",11,14,41,24,74,93,83,103,101,52,40,11,1,2,0,0,0,0,0,0,0
"Vietnam",6,13,13,86,116,68,62,26,14,14,8,3,4,1,0,1,0,0,0,0,0
"Bangladesh",3,3,2,5,10,18,5,10,6,5,1,1,1,0,0,0,0,0,0,0,0
"Timor-Leste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Palestine",1,0,1,1,6,4,4,3,0,1,2,0,0,0,0,0,0,0,0,0,0
"Armenia",2,4,2,2,6,7,9,10,3,2,4,0,1,2,0,0,0,0,0,0,0
"Azerbaijan",7,8,11,16,15,10,10,11,6,5,0,2,0,0,0,0,0,0,0,0,0
"Georgia",8,9,1,11,8,23,16,11,7,9,7,9,5,3,2,0,0,0,0,0,0
"Kazakhstan",9,6,12,46,32,23,21,7,5,2,2,2,2,3,0,0,2,0,0,0,0
"Kyrgyzstan",1,1,1,3,5,9,4,5,1,2,0,0,0,0,0,0,0,0,0,0,0
"Tajikistan",0,1,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Turkmenistan",2,0,0,0,2,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"Uzbekistan",3,1,2,5,7,7,4,4,1,2,0,0,1,0,0,0,0,0,0,0,0
"Australia",15,33,24,37,27,52,60,62,40,37,29,13,10,4,2,2,0,1,0,0,0
"Fiji",0,2,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nauru",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vanuatu",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"New Zealand",2,8,7,4,4,24,30,15,12,10,7,4,2,0,0,0,0,0,0,0,0
"Papua New Guinea",0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tonga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Samoa",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solomon Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tuvalu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kiribati",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marshall Islands",0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Micronesia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Palau",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cook Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
