name,migration
Switzerland,23803
Albania,269
Andorra,3
Belgium,1344
Bulgaria,1756
Denmark,412
Germany,20426
Finland,456
France,14516
Greece,1744
United Kingdom,4119
Ireland,502
Iceland,58
Italy,16471
Liechtenstein,89
Luxembourg,157
Malta,59
Monaco,3
Netherlands,1499
Norway,243
Austria,2913
Poland,4359
Portugal,9257
Romania,3034
San Marino,4
Sweden,862
Spain,5498
Turkey,1819
Hungary,3445
Vatican City State,1
Cyprus,118
Slovakia,2141
Czech Rep.,1015
Serbia,1401
Croatia,652
Slovenia,854
Bosnia and Herz.,600
Montenegro,55
Macedonia,1820
Kosovo,2487
Estonia,111
Latvia,289
Lithuania,411
Moldova,71
Russia,1767
Ukraine,675
Belarus,111
Eq. Guinea,8
Ethiopia,506
Djibouti,5
Algeria,231
Angola,45
Botswana,19
Burundi,29
Benin,31
Côte d'Ivoire,130
Gabon,11
Gambia,59
Ghana,138
Guinea-Bissau,18
Guinea,119
Cameroon,246
Cabo Verde,51
Kenya,172
Comoros,1
Congo,19
Dem. Rep. Congo,160
Lesotho,6
Liberia,1
Libya,64
Madagascar,55
Malawi,23
Mali,30
Morocco,565
Mauritania,14
Mauritius,73
Mozambique,8
Niger,8
Nigeria,261
Burkina Faso,56
Zimbabwe,44
Rwanda,25
Zambia,25
Sao Tom� and Principe,0
Senegal,114
Seychelles,8
Sierra Leone,21
Somalia,636
South Africa,221
Sudan,83
Namibia,7
Swaziland,7
Tanzania,43
Togo,64
Chad,10
Tunisia,487
Uganda,60
Egypt,338
Central African Rep.,6
Eritrea,2588
S. Sudan,4
W. Sahara,0
Argentina,207
Bahamas,2
Barbados,4
Bolivia,167
Brazil,1944
Chile,178
Costa Rica,75
Dominican Rep.,325
Ecuador,195
El Salvador,36
Guatemala,40
Guyana,6
Haiti,21
Belize,0
Honduras,35
Jamaica,26
Canada,1004
Colombia,541
Cuba,147
Mexico,601
Nicaragua,37
Panama,67
Paraguay,49
Peru,243
Suriname,3
Trinidad and Tobago,9
Uruguay,29
Venezuela,155
United States,3568
Dominica,13
Grenada,1
Antigua and Barbuda,2
Saint Lucia,6
Saint Vincent and the Grenadines,0
Saint Kitts and Nevis,10
Afghanistan,1682
Bahrain,9
Bhutan,12
Brunei,5
Myanmar,79
Sri Lanka,1139
Taiwan,330
China,3415
India,2926
Indonesia,303
Iraq,626
Iran,682
Israel,240
Japan,841
Yemen,37
Jordan,93
Cambodia,56
Qatar,14
Kuwait,20
Lao PDR,38
Lebanon,267
Malaysia,223
Maldives,7
Oman,7
Mongolia,124
Nepal,96
Dem. Rep. Korea,13
United Arab Emirates,14
Pakistan,290
Philippines,524
Saudi Arabia,136
Singapore,187
Korea,561
Syria,1703
Thailand,905
Vietnam,438
Bangladesh,116
Timor-Leste,5
Palestine,19
Armenia,70
Azerbaijan,81
Georgia,97
Kazakhstan,177
Kyrgyzstan,32
Tajikistan,27
Turkmenistan,17
Uzbekistan,27
Australia,564
Fiji,17
Nauru,0
Vanuatu,0
New Zealand,111
Papua New Guinea,0
Tonga,1
Samoa,0
Solomon Islands,1
Tuvalu,0
Kiribati,0
Marshall Islands,0
Micronesia,0
Palau,1
Cook Islands,0
Greenland,0
Puerto Rico,0
Falkland Is.,0
Somaliland,0
New Caledonia,0
Fr. S. Antarctic Lands,0
Solomon Is.,0
