name,migration
Switzerland,25952
Albania,236
Andorra,5
Belgium,1381
Bulgaria,999
Denmark,493
Germany,22896
Finland,484
France,15051
Greece,1596
United Kingdom,4312
Ireland,555
Iceland,63
Italy,18894
Liechtenstein,124
Luxembourg,197
Malta,27
Monaco,2
Netherlands,1613
Norway,279
Austria,3229
Poland,5070
Portugal,12325
Romania,2085
San Marino,2
Sweden,966
Spain,7281
Turkey,1627
Hungary,3995
Vatican City State,0
Cyprus,104
Slovakia,2654
Czech Rep.,1170
Serbia,1503
Croatia,529
Slovenia,1088
Bosnia and Herz.,674
Montenegro,78
Macedonia,1599
Kosovo,2566
Estonia,115
Latvia,274
Lithuania,319
Moldova,55
Russia,1962
Ukraine,947
Belarus,132
Eq. Guinea,4
Ethiopia,287
Djibouti,2
Algeria,287
Angola,53
Botswana,17
Burundi,27
Benin,39
Côte d'Ivoire,127
Gabon,35
Gambia,50
Ghana,99
Guinea-Bissau,9
Guinea,73
Cameroon,281
Cabo Verde,38
Kenya,197
Comoros,7
Congo,20
Dem. Rep. Congo,137
Lesotho,3
Liberia,5
Libya,96
Madagascar,71
Malawi,22
Mali,30
Morocco,520
Mauritania,6
Mauritius,80
Mozambique,18
Niger,24
Nigeria,231
Burkina Faso,46
Zimbabwe,52
Rwanda,47
Zambia,20
Sao Tom� and Principe,0
Senegal,196
Seychelles,5
Sierra Leone,20
Somalia,452
South Africa,229
Sudan,88
Namibia,17
Swaziland,3
Tanzania,54
Togo,85
Chad,13
Tunisia,580
Uganda,43
Egypt,353
Central African Rep.,3
Eritrea,5385
S. Sudan,9
W. Sahara,0
Argentina,270
Bahamas,5
Barbados,4
Bolivia,134
Brazil,1740
Chile,184
Costa Rica,81
Dominican Rep.,393
Ecuador,228
El Salvador,29
Guatemala,45
Guyana,0
Haiti,37
Belize,0
Honduras,29
Jamaica,29
Canada,1141
Colombia,454
Cuba,161
Mexico,557
Nicaragua,36
Panama,29
Paraguay,48
Peru,199
Suriname,2
Trinidad and Tobago,19
Uruguay,31
Venezuela,142
United States,3660
Dominica,10
Grenada,0
Antigua and Barbuda,1
Saint Lucia,3
Saint Vincent and the Grenadines,0
Saint Kitts and Nevis,4
Afghanistan,568
Bahrain,16
Bhutan,16
Brunei,10
Myanmar,47
Sri Lanka,1220
Taiwan,313
China,3579
India,2806
Indonesia,310
Iraq,269
Iran,366
Israel,201
Japan,904
Yemen,41
Jordan,102
Cambodia,56
Qatar,8
Kuwait,28
Lao PDR,20
Lebanon,265
Malaysia,228
Maldives,10
Oman,13
Mongolia,87
Nepal,87
Dem. Rep. Korea,16
United Arab Emirates,20
Pakistan,303
Philippines,617
Saudi Arabia,200
Singapore,181
Korea,687
Syria,3793
Thailand,908
Vietnam,431
Bangladesh,172
Timor-Leste,1
Palestine,17
Armenia,85
Azerbaijan,107
Georgia,93
Kazakhstan,231
Kyrgyzstan,43
Tajikistan,10
Turkmenistan,6
Uzbekistan,62
Australia,651
Fiji,11
Nauru,0
Vanuatu,0
New Zealand,139
Papua New Guinea,0
Tonga,0
Samoa,1
Solomon Islands,1
Tuvalu,0
Kiribati,0
Marshall Islands,0
Micronesia,0
Palau,1
Cook Islands,0
Greenland,0
Puerto Rico,0
Falkland Is.,0
Somaliland,0
New Caledonia,0
Fr. S. Antarctic Lands,0
Solomon Is.,0
