name,migration
Switzerland,22134
Albania,378
Andorra,8
Belgium,1403
Bulgaria,2056
Denmark,449
Germany,21159
Finland,402
France,15574
Greece,1828
United Kingdom,2829
Ireland,781
Iceland,79
Italy,16264
Liechtenstein,98
Luxembourg,203
Malta,42
Monaco,5
Netherlands,1583
Norway,220
Austria,2789
Poland,4871
Portugal,7675
Romania,5350
San Marino,1
Sweden,1020
Spain,6268
Turkey,2670
Hungary,2898
Vatican City State,1
Cyprus,139
Slovakia,1931
Czech Rep.,1056
Serbia,1153
Croatia,834
Slovenia,645
Bosnia and Herz.,422
Montenegro,51
Macedonia,1896
Kosovo,2198
Estonia,147
Latvia,285
Lithuania,404
Moldova,109
Russia,1756
Ukraine,711
Belarus,125
Eq. Guinea,8
Ethiopia,170
Djibouti,2
Algeria,243
Angola,78
Botswana,19
Burundi,27
Benin,31
Côte d'Ivoire,151
Gabon,14
Gambia,39
Ghana,109
Guinea-Bissau,15
Guinea,70
Cameroon,218
Cabo Verde,55
Kenya,162
Comoros,4
Congo,16
Dem. Rep. Congo,130
Lesotho,10
Liberia,11
Libya,39
Madagascar,64
Malawi,41
Mali,29
Morocco,531
Mauritania,11
Mauritius,38
Mozambique,20
Niger,10
Nigeria,287
Burkina Faso,47
Zimbabwe,59
Rwanda,40
Zambia,20
Sao Tom� and Principe,1
Senegal,188
Seychelles,3
Sierra Leone,18
Somalia,173
South Africa,254
Sudan,200
Namibia,15
Swaziland,9
Tanzania,69
Togo,64
Chad,6
Tunisia,466
Uganda,74
Egypt,345
Central African Rep.,0
Eritrea,594
S. Sudan,33
W. Sahara,1
Argentina,256
Bahamas,2
Barbados,7
Bolivia,128
Brazil,1681
Chile,215
Costa Rica,70
Dominican Rep.,262
Ecuador,192
El Salvador,34
Guatemala,25
Guyana,3
Haiti,34
Belize,2
Honduras,51
Jamaica,26
Canada,864
Colombia,622
Cuba,175
Mexico,625
Nicaragua,36
Panama,17
Paraguay,44
Peru,259
Suriname,0
Trinidad and Tobago,16
Uruguay,31
Venezuela,162
United States,3160
Dominica,11
Grenada,0
Antigua and Barbuda,2
Saint Lucia,6
Saint Vincent and the Grenadines,0
Saint Kitts and Nevis,9
Afghanistan,1647
Bahrain,6
Bhutan,27
Brunei,3
Myanmar,86
Sri Lanka,448
Taiwan,211
China,3344
India,2900
Indonesia,306
Iraq,269
Iran,579
Israel,211
Japan,818
Yemen,30
Jordan,69
Cambodia,90
Qatar,16
Kuwait,14
Lao PDR,28
Lebanon,373
Malaysia,162
Maldives,9
Oman,14
Mongolia,63
Nepal,76
Dem. Rep. Korea,2
United Arab Emirates,11
Pakistan,234
Philippines,488
Saudi Arabia,253
Singapore,145
Korea,465
Syria,767
Thailand,701
Vietnam,331
Bangladesh,101
Timor-Leste,2
Palestine,41
Armenia,42
Azerbaijan,91
Georgia,101
Kazakhstan,168
Kyrgyzstan,46
Tajikistan,23
Turkmenistan,4
Uzbekistan,33
Australia,353
Fiji,10
Nauru,5
Vanuatu,0
New Zealand,92
Papua New Guinea,0
Tonga,0
Samoa,1
Solomon Islands,0
Tuvalu,0
Kiribati,0
Marshall Islands,0
Micronesia,0
Palau,0
Cook Islands,0
Greenland,0
Puerto Rico,0
Falkland Is.,0
Somaliland,0
New Caledonia,0
Fr. S. Antarctic Lands,0
Solomon Is.,0
