name,migration
Switzerland,23965
Albania,333
Andorra,1
Belgium,1350
Bulgaria,2277
Denmark,387
Germany,20464
Finland,431
France,14360
Greece,1852
United Kingdom,4331
Ireland,633
Iceland,79
Italy,16297
Liechtenstein,109
Luxembourg,175
Malta,48
Monaco,4
Netherlands,1518
Norway,238
Austria,2941
Poland,4928
Portugal,8443
Romania,4626
San Marino,3
Sweden,972
Spain,5487
Turkey,2371
Hungary,3112
Vatican City State,0
Cyprus,98
Slovakia,2219
Czech Rep.,1058
Serbia,1282
Croatia,813
Slovenia,800
Bosnia and Herz.,516
Montenegro,78
Macedonia,1832
Kosovo,2149
Estonia,130
Latvia,322
Lithuania,432
Moldova,76
Russia,1929
Ukraine,748
Belarus,106
Eq. Guinea,5
Ethiopia,166
Djibouti,3
Algeria,303
Angola,77
Botswana,9
Burundi,31
Benin,24
Côte d'Ivoire,100
Gabon,13
Gambia,46
Ghana,85
Guinea-Bissau,13
Guinea,56
Cameroon,211
Cabo Verde,38
Kenya,217
Comoros,0
Congo,22
Dem. Rep. Congo,137
Lesotho,19
Liberia,7
Libya,72
Madagascar,74
Malawi,4
Mali,28
Morocco,594
Mauritania,6
Mauritius,60
Mozambique,7
Niger,16
Nigeria,286
Burkina Faso,29
Zimbabwe,60
Rwanda,32
Zambia,19
Sao Tom� and Principe,0
Senegal,145
Seychelles,5
Sierra Leone,12
Somalia,230
South Africa,267
Sudan,37
Namibia,27
Swaziland,4
Tanzania,42
Togo,64
Chad,13
Tunisia,432
Uganda,56
Egypt,350
Central African Rep.,4
Eritrea,1364
S. Sudan,15
W. Sahara,0
Argentina,261
Bahamas,3
Barbados,7
Bolivia,157
Brazil,1797
Chile,194
Costa Rica,62
Dominican Rep.,250
Ecuador,182
El Salvador,27
Guatemala,27
Guyana,5
Haiti,21
Belize,3
Honduras,41
Jamaica,33
Canada,891
Colombia,583
Cuba,135
Mexico,593
Nicaragua,69
Panama,39
Paraguay,49
Peru,239
Suriname,1
Trinidad and Tobago,15
Uruguay,40
Venezuela,157
United States,3267
Dominica,5
Grenada,0
Antigua and Barbuda,1
Saint Lucia,3
Saint Vincent and the Grenadines,2
Saint Kitts and Nevis,8
Afghanistan,929
Bahrain,15
Bhutan,18
Brunei,3
Myanmar,84
Sri Lanka,593
Taiwan,300
China,3453
India,2894
Indonesia,349
Iraq,393
Iran,748
Israel,169
Japan,832
Yemen,24
Jordan,71
Cambodia,83
Qatar,15
Kuwait,23
Lao PDR,38
Lebanon,253
Malaysia,204
Maldives,13
Oman,13
Mongolia,91
Nepal,92
Dem. Rep. Korea,7
United Arab Emirates,13
Pakistan,251
Philippines,610
Saudi Arabia,192
Singapore,169
Korea,614
Syria,1562
Thailand,832
Vietnam,584
Bangladesh,120
Timor-Leste,3
Palestine,24
Armenia,67
Azerbaijan,165
Georgia,149
Kazakhstan,217
Kyrgyzstan,41
Tajikistan,26
Turkmenistan,14
Uzbekistan,53
Australia,468
Fiji,11
Nauru,5
Vanuatu,1
New Zealand,122
Papua New Guinea,2
Tonga,0
Samoa,0
Solomon Islands,0
Tuvalu,0
Kiribati,0
Marshall Islands,3
Micronesia,1
Palau,1
Cook Islands,0
Greenland,0
Puerto Rico,0
Falkland Is.,0
Somaliland,0
New Caledonia,0
Fr. S. Antarctic Lands,0
Solomon Is.,0
