name,migration
Switzerland,23902
Albania,357
Andorra,7
Belgium,1341
Bulgaria,1400
Denmark,424
Germany,20798
Finland,473
France,14247
Greece,1776
United Kingdom,4135
Ireland,644
Iceland,61
Italy,17016
Liechtenstein,120
Luxembourg,175
Malta,43
Monaco,4
Netherlands,1469
Norway,276
Austria,2850
Poland,4931
Portugal,8733
Romania,2533
San Marino,1
Sweden,932
Spain,5847
Turkey,2163
Hungary,3282
Vatican City State,0
Cyprus,107
Slovakia,2376
Czech Rep.,1031
Serbia,1369
Croatia,882
Slovenia,835
Bosnia and Herz.,590
Montenegro,74
Macedonia,1807
Kosovo,2491
Estonia,157
Latvia,340
Lithuania,455
Moldova,91
Russia,1832
Ukraine,706
Belarus,143
Eq. Guinea,3
Ethiopia,213
Djibouti,5
Algeria,261
Angola,60
Botswana,17
Burundi,37
Benin,27
Côte d'Ivoire,132
Gabon,15
Gambia,66
Ghana,113
Guinea-Bissau,11
Guinea,104
Cameroon,237
Cabo Verde,44
Kenya,210
Comoros,4
Congo,21
Dem. Rep. Congo,155
Lesotho,4
Liberia,6
Libya,80
Madagascar,53
Malawi,22
Mali,33
Morocco,569
Mauritania,15
Mauritius,71
Mozambique,13
Niger,12
Nigeria,208
Burkina Faso,40
Zimbabwe,64
Rwanda,46
Zambia,29
Sao Tom� and Principe,1
Senegal,122
Seychelles,4
Sierra Leone,14
Somalia,302
South Africa,314
Sudan,89
Namibia,8
Swaziland,4
Tanzania,32
Togo,77
Chad,14
Tunisia,481
Uganda,94
Egypt,319
Central African Rep.,9
Eritrea,1695
S. Sudan,6
W. Sahara,0
Argentina,241
Bahamas,4
Barbados,10
Bolivia,167
Brazil,2021
Chile,229
Costa Rica,90
Dominican Rep.,281
Ecuador,207
El Salvador,32
Guatemala,33
Guyana,2
Haiti,30
Belize,3
Honduras,52
Jamaica,34
Canada,930
Colombia,505
Cuba,153
Mexico,561
Nicaragua,69
Panama,31
Paraguay,58
Peru,216
Suriname,0
Trinidad and Tobago,15
Uruguay,35
Venezuela,174
United States,3505
Dominica,8
Grenada,2
Antigua and Barbuda,3
Saint Lucia,2
Saint Vincent and the Grenadines,3
Saint Kitts and Nevis,8
Afghanistan,922
Bahrain,4
Bhutan,27
Brunei,6
Myanmar,118
Sri Lanka,829
Taiwan,330
China,3343
India,3027
Indonesia,333
Iraq,348
Iran,641
Israel,166
Japan,836
Yemen,34
Jordan,78
Cambodia,57
Qatar,5
Kuwait,15
Lao PDR,28
Lebanon,281
Malaysia,203
Maldives,13
Oman,19
Mongolia,106
Nepal,65
Dem. Rep. Korea,17
United Arab Emirates,8
Pakistan,282
Philippines,574
Saudi Arabia,154
Singapore,149
Korea,644
Syria,2056
Thailand,800
Vietnam,502
Bangladesh,109
Timor-Leste,0
Palestine,24
Armenia,84
Azerbaijan,113
Georgia,136
Kazakhstan,185
Kyrgyzstan,35
Tajikistan,22
Turkmenistan,9
Uzbekistan,52
Australia,545
Fiji,6
Nauru,0
Vanuatu,4
New Zealand,119
Papua New Guinea,1
Tonga,1
Samoa,0
Solomon Islands,0
Tuvalu,0
Kiribati,0
Marshall Islands,0
Micronesia,0
Palau,0
Cook Islands,0
Greenland,0
Puerto Rico,0
Falkland Is.,0
Somaliland,0
New Caledonia,0
Fr. S. Antarctic Lands,0
Solomon Is.,0
